piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_06_leinster_64kb_f000141|Thal explained that it was a feudal chieftain on his way to the spaceport town. It was simple discretion for them not to be observed, said Thal,|Thal explained that it was a feudal chieftain on his way to the spaceport town. It was simple discretion for them not to be observed, said Thal,
piratesofersatz_06_leinster_64kb_f000142|because they had great reputations as fighting men.|because they had great reputations as fighting men.
piratesofersatz_06_leinster_64kb_f000143|Whoever defeated them would become prominent at once. So somebody might try to pick a quarrel under one of the finer points of etiquette when it would be disgrace to use anything but standard Darthian implements for massacre.|Whoever defeated them would become prominent at once. So somebody might try to pick a quarrel under one of the finer points of etiquette when it would be disgrace to use anything but standard Darthian implements for massacre.
piratesofersatz_06_leinster_64kb_f000144|Hoddan admitted that he did not feel quarrelsome.|Hoddan admitted that he did not feel quarrelsome.
piratesofersatz_06_leinster_64kb_f000145|They rode on after a time, and in late afternoon the towers and battlements of the castle they sought appeared. The ground here was only gently rolling.|They rode on after a time, and in late afternoon the towers and battlements of the castle they sought appeared. The ground here was only gently rolling.
piratesofersatz_06_leinster_64kb_f000146|They approached it with caution, following the reverse slope of hills, and dry stream-beds, and at last penetrating horse-high brush to the point where they could see it clearly.|They approached it with caution, following the reverse slope of hills, and dry stream-beds, and at last penetrating horse-high brush to the point where they could see it clearly.
piratesofersatz_06_leinster_64kb_f000147|If Hoddan had been a student of early terrestrial history, he might have remarked upon the re-emergence of ancient architectural forms to match the revival of primitive social systems.|If Hoddan had been a student of early terrestrial history, he might have remarked upon the re-emergence of ancient architectural forms to match the revival of primitive social systems.
piratesofersatz_06_leinster_64kb_f000148|As it was, he noted in this feudal castle the use of bastions for flanking fire upon attackers, he recognized the value of battlements for the protection of defenders while allowing them to shoot,|As it was, he noted in this feudal castle the use of bastions for flanking fire upon attackers, he recognized the value of battlements for the protection of defenders while allowing them to shoot,
piratesofersatz_06_leinster_64kb_f000149|and the tricky positioning of sally ports.|and the tricky positioning of sally ports.
piratesofersatz_06_leinster_64kb_f000150|He even grasped the reason for the massive, stark, unornamented keep. But his eyes did not stay on the castle for long. He saw the spaceboat in which Derec and his more authoritative companion had arrived.|He even grasped the reason for the massive, stark, unornamented keep. But his eyes did not stay on the castle for long. He saw the spaceboat in which Derec and his more authoritative companion had arrived.
piratesofersatz_06_leinster_64kb_f000151|It lay on the ground a half mile from the castle walls. It was a clumsy, obese, flattened shape some forty feet long and nearly fifteen wide.|It lay on the ground a half mile from the castle walls. It was a clumsy, obese, flattened shape some forty feet long and nearly fifteen wide.
piratesofersatz_06_leinster_64kb_f000152|The ground about it was scorched where it had descended upon its rocket flames. There were several horses tethered near it, and men who were plainly retainers of the nearby castle reposed in its shade.|The ground about it was scorched where it had descended upon its rocket flames. There were several horses tethered near it, and men who were plainly retainers of the nearby castle reposed in its shade.
piratesofersatz_06_leinster_64kb_f000153|Hoddan reined in.|Hoddan reined in.
piratesofersatz_06_leinster_64kb_f000154|Here we part, he told Thal. When we first met I enabled you to pick the pockets of a good many of your fellow-countrymen.|Here we part, he told Thal. When we first met I enabled you to pick the pockets of a good many of your fellow-countrymen.
piratesofersatz_06_leinster_64kb_f000155|I never asked for my split of the take. I expect you to remember me with affection.|I never asked for my split of the take. I expect you to remember me with affection.
piratesofersatz_06_leinster_64kb_f000156|Thal clasped both of Hoddan's hands in his.|Thal clasped both of Hoddan's hands in his.
piratesofersatz_06_leinster_64kb_f000157|If you ever return, he said with mournful warmth, I am your friend!|If you ever return, he said with mournful warmth, I am your friend!
piratesofersatz_06_leinster_64kb_f000158|Hoddan nodded and rode out of the brushwood toward the spaceboat — the lifeboat — that had landed the emissaries from Walden.|Hoddan nodded and rode out of the brushwood toward the spaceboat - the lifeboat - that had landed the emissaries from Walden.
piratesofersatz_06_leinster_64kb_f000159|That it landed so close to the spaceport, of course, was no accident. It was known on Walden that Hoddan had taken space passage to Darth.|That it landed so close to the spaceport, of course, was no accident. It was known on Walden that Hoddan had taken space passage to Darth.
piratesofersatz_06_leinster_64kb_f000160|He'd have landed only two days before his pursuers could reach the planet. And on a roadless, primitive world like Darth he couldn't have gotten far from the spaceport.|He'd have landed only two days before his pursuers could reach the planet. And on a roadless, primitive world like Darth he couldn't have gotten far from the spaceport.
piratesofersatz_06_leinster_64kb_f000161|So his pursuers would have landed close by, also. But it must have taken considerable courage. When the landing grid failed to answer, it must have seemed likely that Hoddan's deathrays had been at work.|So his pursuers would have landed close by, also. But it must have taken considerable courage. When the landing grid failed to answer, it must have seemed likely that Hoddan's deathrays had been at work.
piratesofersatz_06_leinster_64kb_f000162|Here and now, though, there was no uneasiness. Hoddan rode heavily, without haste, through the slanting sunshine. He was seen from a distance and watched without apprehension by the loafing guards about the boat.|Here and now, though, there was no uneasiness. Hoddan rode heavily, without haste, through the slanting sunshine. He was seen from a distance and watched without apprehension by the loafing guards about the boat.
piratesofersatz_06_leinster_64kb_f000163|He looked hot and thirsty. He was both. So the posted guard merely looked at him without too much interest when he brought his dusty mount up to the shadow the lifeboat cast,|He looked hot and thirsty. He was both. So the posted guard merely looked at him without too much interest when he brought his dusty mount up to the shadow the lifeboat cast,
piratesofersatz_06_leinster_64kb_f000164|and apparently decided that there wasn't room to get into it.|and apparently decided that there wasn't room to get into it.
piratesofersatz_06_leinster_64kb_f000165|He grunted a greeting and looked at them speculatively.|He grunted a greeting and looked at them speculatively.
piratesofersatz_06_leinster_64kb_f000166|Those two characters from Walden, he observed, sent me to get something from this thing, here. Don Loris told 'em I was a very honest man.|Those two characters from Walden, he observed, sent me to get something from this thing, here. Don Loris told 'em I was a very honest man.
piratesofersatz_06_leinster_64kb_f000167|He painstakingly looked like a very honest man. After a moment there were responsive grins.|He painstakingly looked like a very honest man. After a moment there were responsive grins.
piratesofersatz_06_leinster_64kb_f000168|If there's anything missing when I start back, said Hoddan, I can't imagine how it happened! None of you would take anything.|If there's anything missing when I start back, said Hoddan, I can't imagine how it happened! None of you would take anything.
piratesofersatz_06_leinster_64kb_f000169|Oh, no! I bet you'll blame it on me! He shook his head and said Tsk. Tsk. Tsk.|Oh, no! I bet you'll blame it on me! He shook his head and said Tsk. Tsk. Tsk.
piratesofersatz_06_leinster_64kb_f000170|One of the guards sat up and said appreciatively:|One of the guards sat up and said appreciatively:
piratesofersatz_06_leinster_64kb_f000171|But it's locked. Good.|But it's locked. Good.
piratesofersatz_06_leinster_64kb_f000172|Being an honest man, said Hoddan amiably, they told me how to unlock it.|Being an honest man, said Hoddan amiably, they told me how to unlock it.
piratesofersatz_06_leinster_64kb_f000173|He got off his horse. He removed the bag from his saddle. He went into the grateful shadow of the metal hull. He paused and mopped his face and then went to the entrance port.|He got off his horse. He removed the bag from his saddle. He went into the grateful shadow of the metal hull. He paused and mopped his face and then went to the entrance port.
piratesofersatz_06_leinster_64kb_f000174|He put his hand on the turning bar. Then he painstakingly pushed in the locking-stud with his other hand. Of course the handle turned.|He put his hand on the turning bar. Then he painstakingly pushed in the locking-stud with his other hand. Of course the handle turned.
piratesofersatz_06_leinster_64kb_f000175|The boat port opened. The two from Walden would have thought everything safe because it was under guard. On Walden that protection would have been enough.|The boat port opened. The two from Walden would have thought everything safe because it was under guard. On Walden that protection would have been enough.
piratesofersatz_06_leinster_64kb_f000176|On Darth, the spaceboat had not been looted simply because locks, there, were not made with separate vibration-checks to keep vibration from loosening them.|On Darth, the spaceboat had not been looted simply because locks, there, were not made with separate vibration-checks to keep vibration from loosening them.
piratesofersatz_06_leinster_64kb_f000177|On spaceboats such a precaution was usual.|On spaceboats such a precaution was usual.
piratesofersatz_06_leinster_64kb_f000178|Give me two minutes, said Hoddan over his shoulder. I have to get what they sent me for. After that everybody starts even.|Give me two minutes, said Hoddan over his shoulder. I have to get what they sent me for. After that everybody starts even.
piratesofersatz_06_leinster_64kb_f000179|He entered and closed the door behind him. Then he locked it. By the nature of things it is as needful to be able to lock a spaceboat from the inside as it is unnecessary to lock it from without.|He entered and closed the door behind him. Then he locked it. By the nature of things it is as needful to be able to lock a spaceboat from the inside as it is unnecessary to lock it from without.
piratesofersatz_06_leinster_64kb_f000180|He looked things over. Standard equipment everywhere. He checked everything, even to the fuel supply. There were knockings on the port.|He looked things over. Standard equipment everywhere. He checked everything, even to the fuel supply. There were knockings on the port.
piratesofersatz_06_leinster_64kb_f000181|He continued to inspect. He turned on the visionscreens, which provided the control room — indeed, all the boat — with an unobstructed view in all directions. He was satisfied.|He continued to inspect. He turned on the visionscreens, which provided the control room - indeed, all the boat - with an unobstructed view in all directions. He was satisfied.
piratesofersatz_06_leinster_64kb_f000182|The knocks became bangings. Something approaching indignation could be deduced. The guards around the spaceboat felt that Hoddan was taking an unfair amount of time to pick the cream of the loot inside.|The knocks became bangings. Something approaching indignation could be deduced. The guards around the spaceboat felt that Hoddan was taking an unfair amount of time to pick the cream of the loot inside.
piratesofersatz_06_leinster_64kb_f000183|He got a glass of water. It was excellent. A second.|He got a glass of water. It was excellent. A second.
piratesofersatz_06_leinster_64kb_f000184|The bangings became violent hammerings.|The bangings became violent hammerings.
piratesofersatz_06_leinster_64kb_f000185|Hoddan seated himself leisurely in the pilot's seat and turned small knobs. He waited. He touched a button. There was a mildly thunderous bang outside,|Hoddan seated himself leisurely in the pilot's seat and turned small knobs. He waited. He touched a button. There was a mildly thunderous bang outside,
piratesofersatz_06_leinster_64kb_f000186|and the lifeboat reacted as if to a slight shock.|and the lifeboat reacted as if to a slight shock.
piratesofersatz_06_leinster_64kb_f000187|The visionscreens showed a cloud of dust at the spaceboat's stern, roused by a deliberate explosion in the rocket tubes. It also showed the retainers in full flight.|The visionscreens showed a cloud of dust at the spaceboat's stern, roused by a deliberate explosion in the rocket tubes. It also showed the retainers in full flight.
piratesofersatz_06_leinster_64kb_f000188|He waited until they were in safety and made the standard take-off preparations. A horrific roaring started up outside. He touched controls and a monstrous weight pushed him back in his seat.|He waited until they were in safety and made the standard take-off preparations. A horrific roaring started up outside. He touched controls and a monstrous weight pushed him back in his seat.
piratesofersatz_06_leinster_64kb_f000189|The rocket swung, and lifted, and shot skyward with greater acceleration than before.|The rocket swung, and lifted, and shot skyward with greater acceleration than before.
piratesofersatz_06_leinster_64kb_f000190|It went up at a lifeboat's full fall-like rate of climb, leaving a trail of blue-white flame behind it. All the surface of Darth seemed to contract swiftly below him.|It went up at a lifeboat's full fall-like rate of climb, leaving a trail of blue-white flame behind it. All the surface of Darth seemed to contract swiftly below him.
piratesofersatz_06_leinster_64kb_f000191|The spaceport and the town rushed toward a spot beneath the spaceboat's tail. They shrank and shrank. He saw other places.|The spaceport and the town rushed toward a spot beneath the spaceboat's tail. They shrank and shrank. He saw other places.
piratesofersatz_06_leinster_64kb_f000192|Mountains. Castles. He saw Don Loris' stronghold. Higher, he saw the sea.|Mountains. Castles. He saw Don Loris' stronghold. Higher, he saw the sea.
piratesofersatz_06_leinster_64kb_f000193|The sky turned purple. It went black with specks of starshine in it. Hoddan swung to a westward course and continued to rise, watching the star-images as they shifted on the screens.|The sky turned purple. It went black with specks of starshine in it. Hoddan swung to a westward course and continued to rise, watching the star-images as they shifted on the screens.
piratesofersatz_06_leinster_64kb_f000194|The image of the sun, of course, was automatically diminished so that it was not dazzling. The rockets continued to roar, though in a minor fashion because there was no longer air outside in which a bellow could develop.|The image of the sun, of course, was automatically diminished so that it was not dazzling. The rockets continued to roar, though in a minor fashion because there was no longer air outside in which a bellow could develop.
piratesofersatz_06_leinster_64kb_f000195|Hoddan painstakingly made use of those rule-of-thumb methods of astrogation which his piratical forebears had developed and which a boy on Zan absorbed without being aware.|Hoddan painstakingly made use of those rule-of-thumb methods of astrogation which his piratical forebears had developed and which a boy on Zan absorbed without being aware.
piratesofersatz_06_leinster_64kb_f000196|He wanted an orbit around Darth. He didn't want to take time to try to compute it. So he watched the star-images ahead and astern.|He wanted an orbit around Darth. He didn't want to take time to try to compute it. So he watched the star-images ahead and astern.
piratesofersatz_06_leinster_64kb_f000197|If the stars ahead rose above the planet's edge faster than those behind sank down below it — he would be climbing. If the stars behind sank down faster than those ahead rose up — he would be descending.|If the stars ahead rose above the planet's edge faster than those behind sank down below it - he would be climbing. If the stars behind sank down faster than those ahead rose up - he would be descending.
piratesofersatz_06_leinster_64kb_f000198|If all the stars rose equally he'd be climbing straight up, and if they all dropped equally he'd be moving straight down. It was not a complex method, and it worked.|If all the stars rose equally he'd be climbing straight up, and if they all dropped equally he'd be moving straight down. It was not a complex method, and it worked.
piratesofersatz_06_leinster_64kb_f000199|Presently he relaxed. He sped swiftly back past midday and toward the sunrise line on Darth. This was the reverse of a normal orbit, but it was the direction followed by the ships up here.|Presently he relaxed. He sped swiftly back past midday and toward the sunrise line on Darth. This was the reverse of a normal orbit, but it was the direction followed by the ships up here.
piratesofersatz_06_leinster_64kb_f000200|He hoped his orbit was lower than theirs. If it was, he'd overtake them from behind. If he were higher, they'd overtake him.|He hoped his orbit was lower than theirs. If it was, he'd overtake them from behind. If he were higher, they'd overtake him.
piratesofersatz_06_leinster_64kb_f000201|He turned on the space phone. Its reception-indicator was piously placed at Ground. He shifted it to Space, so that it would pick up calls going planetward,|He turned on the space phone. Its reception-indicator was piously placed at Ground. He shifted it to Space, so that it would pick up calls going planetward,
piratesofersatz_06_leinster_64kb_f000202|instead of listening vainly for replies from the nonoperative landing grid.|instead of listening vainly for replies from the nonoperative landing grid.
piratesofersatz_06_leinster_64kb_f000203|Instantly voices boomed in his ears. Many voices. An impossibly large number of voices. Many, many, many more than nine transmitters were in operation now!|Instantly voices boomed in his ears. Many voices. An impossibly large number of voices. Many, many, many more than nine transmitters were in operation now!
piratesofersatz_06_leinster_64kb_f000204|Idiot! said a voice in quiet passion, sheer off or you'll get in our drive-field! A high-pitched voice said;. And group two take second-orbit position — Somebody bellowed: But why don't they answer?|Idiot! said a voice in quiet passion, sheer off or you'll get in our drive-field! A high-pitched voice said;. And group two take second-orbit position - Somebody bellowed: But why don't they answer?
piratesofersatz_06_leinster_64kb_f000205|And another voice still said formally: Reporting group five, but four ships are staying behind with tanker Toya, which is having stabilizer trouble.|And another voice still said formally: Reporting group five, but four ships are staying behind with tanker Toya, which is having stabilizer trouble.
piratesofersatz_06_leinster_64kb_f000206|Hoddan's eyes opened very wide. He turned down the sound while he tried to think. But there wasn't anything to think. He'd come aloft to scout three ships that had turned to nine,|Hoddan's eyes opened very wide. He turned down the sound while he tried to think. But there wasn't anything to think. He'd come aloft to scout three ships that had turned to nine,
piratesofersatz_06_leinster_64kb_f000207|because he was in such a fix on Darth that anything strange might be changed into something useful.|because he was in such a fix on Darth that anything strange might be changed into something useful.
piratesofersatz_06_leinster_64kb_f000208|But this was more than nine ships — itself an impossibly large space fleet. There was no reason why ships of space should ever travel together.|But this was more than nine ships - itself an impossibly large space fleet. There was no reason why ships of space should ever travel together.
piratesofersatz_06_leinster_64kb_f000209|There were innumerable reasons why they shouldn't. There was a limit to the number of ships that could be accommodated at any spaceport in the galaxy.|There were innumerable reasons why they shouldn't. There was a limit to the number of ships that could be accommodated at any spaceport in the galaxy.
piratesofersatz_06_leinster_64kb_f000210|There was no point, no profit, no purpose in a number of ships traveling togetherDarth's sunrise-line appeared far ahead.|There was no point, no profit, no purpose in a number of ships traveling togetherDarth's sunrise-line appeared far ahead.
piratesofersatz_06_leinster_64kb_f000211|The lifeboat would soon cease to be a bright light in the sky, now. The sun's image vanished from the rear screens. The boat went hurtling onward through the blackness of the planet's shadow while voices squabbled,|The lifeboat would soon cease to be a bright light in the sky, now. The sun's image vanished from the rear screens. The boat went hurtling onward through the blackness of the planet's shadow while voices squabbled,
piratesofersatz_06_leinster_64kb_f000212|and wrangled, and formally reported, and now and again one admonished disputants to a proper discipline of language.|and wrangled, and formally reported, and now and again one admonished disputants to a proper discipline of language.
piratesofersatz_06_leinster_64kb_f000213|During the period of darkness, Hoddan racked his brains for the vaguest of ideas on why so many ships should appear about an obscure and unimportant world like Darth.|During the period of darkness, Hoddan racked his brains for the vaguest of ideas on why so many ships should appear about an obscure and unimportant world like Darth.
piratesofersatz_06_leinster_64kb_f000214|Presently the sunset line appeared ahead, and far away he saw moving lights which were the hulls of the volubly communicating vessels.|Presently the sunset line appeared ahead, and far away he saw moving lights which were the hulls of the volubly communicating vessels.
piratesofersatz_06_leinster_64kb_f000215|He stared, blankly. There were tens — Scores — He was forced to guess at the stark impossibility of more than a hundred spacecraft in view.|He stared, blankly. There were tens - Scores - He was forced to guess at the stark impossibility of more than a hundred spacecraft in view.
piratesofersatz_06_leinster_64kb_f000216|As the boat rushed onward he had to raise the guess. It couldn't be, butHe turned on the outside telescope, and the image on its screen was more incredible than the voices and the existence of the fleet itself.|As the boat rushed onward he had to raise the guess. It couldn't be, butHe turned on the outside telescope, and the image on its screen was more incredible than the voices and the existence of the fleet itself.
piratesofersatz_06_leinster_64kb_f000217|The scope focused first on a bulging, monster, antiquated freighter of a design that had not been built for a hundred years.|The scope focused first on a bulging, monster, antiquated freighter of a design that had not been built for a hundred years.
piratesofersatz_06_leinster_64kb_f000218|The second view was of a passenger liner with the elaborate ornamentation that in past generations was considered suitable for space.|The second view was of a passenger liner with the elaborate ornamentation that in past generations was considered suitable for space.
piratesofersatz_06_leinster_64kb_f000219|There was a bulk-cargo ship, with no emergency rockets at all and crews' quarters in long blisters built outside the gigantic tank which was the ship itself.|There was a bulk-cargo ship, with no emergency rockets at all and crews' quarters in long blisters built outside the gigantic tank which was the ship itself.
piratesofersatz_06_leinster_64kb_f000220|There was a needle-sharp space yacht. More freighters, with streaks of rust on their sides where they had lain aground for tens of years.|There was a needle-sharp space yacht. More freighters, with streaks of rust on their sides where they had lain aground for tens of years.
piratesofersatz_06_leinster_64kb_f000221|The fleet was an anomaly, and each of its component parts was separately a freak. It was a gathering-together of all the outmoded and obsolete hulks and monstrosities of space.|The fleet was an anomaly, and each of its component parts was separately a freak. It was a gathering-together of all the outmoded and obsolete hulks and monstrosities of space.
piratesofersatz_06_leinster_64kb_f000222|One would have to scavenge half the galaxy to bring together so many crazy, over-age derelicts that should have been in junk yards.|One would have to scavenge half the galaxy to bring together so many crazy, over-age derelicts that should have been in junk yards.
piratesofersatz_06_leinster_64kb_f000223|Then Hoddan drew an explosive deep breath. It was suddenly clear what the fleet was and what its reason must be. Why it stopped here could not yet be guessed,|Then Hoddan drew an explosive deep breath. It was suddenly clear what the fleet was and what its reason must be. Why it stopped here could not yet be guessed,
piratesofersatz_06_leinster_64kb_f000224|butHoddan watched absorbedly.|butHoddan watched absorbedly.
piratesofersatz_06_leinster_64kb_f000225|He couldn't know what was toward, but there was some emergency. It could be in the line of what an electronic engineer could handle.|He couldn't know what was toward, but there was some emergency. It could be in the line of what an electronic engineer could handle.
piratesofersatz_06_leinster_64kb_f000226|If so — why — it could mean an opportunity to accomplish great things, and grow rich, and probably marry some delightful girl and be a great man somewhere — an assortment of ambitions one could not easily gratify on Zan, or Walden, or Darth.|If so - why - it could mean an opportunity to accomplish great things, and grow rich, and probably marry some delightful girl and be a great man somewhere - an assortment of ambitions one could not easily gratify on Zan, or Walden, or Darth.
piratesofersatz_06_leinster_64kb_f000227|End of chapter 6.|End of chapter six.
piratesofersatz_07_leinster_64kb_f000001|Chapter 7 of the pirates of ersatz.|Chapter seven of the pirates of ersatz.
piratesofersatz_07_leinster_64kb_f000002|This librivox recording is in public domain.|This librivox recording is in public domain.
piratesofersatz_07_leinster_64kb_f000003|The pirates of ersatz by Murray Leinster. Chapter 7.|The pirates of ersatz by Murray Leinster. Chapter seven.
piratesofersatz_07_leinster_64kb_f000004|The spaceboat floated on upon a collision-course with the arriving fleet. That would not mean, of course, actual contact with any of the improbable vessels themselves.|The spaceboat floated on upon a collision-course with the arriving fleet. That would not mean, of course, actual contact with any of the improbable vessels themselves.
piratesofersatz_07_leinster_64kb_f000005|Crowded as the sunlit specks might seem from Darth's night-side shadow, they were sufficiently separated. It was more than likely that even with ten-mile intervals the ships would be considered much too crowded.|Crowded as the sunlit specks might seem from Darth's night-side shadow, they were sufficiently separated. It was more than likely that even with ten-mile intervals the ships would be considered much too crowded.
piratesofersatz_07_leinster_64kb_f000006|But they came pouring out of emptiness to go into a swirling, plainly pre-intended orbit about the planet from which Hoddan had risen less than an hour before.|But they came pouring out of emptiness to go into a swirling, plainly pre-intended orbit about the planet from which Hoddan had risen less than an hour before.
piratesofersatz_07_leinster_64kb_f000007|There was inevitable confusion, though, and the spacephone proved it. There were disputes between freakish ships when craft with the astrogational qualities of washtubs tried to keep assigned positions,|There was inevitable confusion, though, and the spacephone proved it. There were disputes between freakish ships when craft with the astrogational qualities of washtubs tried to keep assigned positions,
piratesofersatz_07_leinster_64kb_f000008|and failed, and there were squabbles when ships had to pass close together.|and failed, and there were squabbles when ships had to pass close together.
piratesofersatz_07_leinster_64kb_f000009|One had to shut off its drive-field to keep from blowing the fuses of both.|One had to shut off its drive-field to keep from blowing the fuses of both.
piratesofersatz_07_leinster_64kb_f000010|But there were some ships which proceeded quietly to their positions and others which did the same after tumult amounting to rebellion.|But there were some ships which proceeded quietly to their positions and others which did the same after tumult amounting to rebellion.
piratesofersatz_07_leinster_64kb_f000011|And naturally there were a few others which seemed incapable of co-operation with anybody. They went careening through the other ships' paths in what must have seemed to the planet's sunset area like a most unlikely dancing of brand-new stars.|And naturally there were a few others which seemed incapable of co-operation with anybody. They went careening through the other ships' paths in what must have seemed to the planet's sunset area like a most unlikely dancing of brand-new stars.
piratesofersatz_07_leinster_64kb_f000012|It was a gigantic traffic tangle, and Hoddan's boat drifted toward and into it. He'd counted a hundred ships long before.|It was a gigantic traffic tangle, and Hoddan's boat drifted toward and into it. He'd counted a hundred ships long before.
piratesofersatz_07_leinster_64kb_f000013|His count now passed two hundred and continued. Before he gave up he'd numbered two hundred forty-seven space-oddities swarming to make a whirling band — a ring — around the planet Darth.|His count now passed two hundred and continued. Before he gave up he'd numbered two hundred forty-seven space-oddities swarming to make a whirling band - a ring - around the planet Darth.
piratesofersatz_07_leinster_64kb_f000014|He was fairly sure that he knew what they were, now. But he could not possibly guess where they came from.|He was fairly sure that he knew what they were, now. But he could not possibly guess where they came from.
piratesofersatz_07_leinster_64kb_f000015|And most mysterious of all was the question of why they'd come out of faster-than-light drive to make of themselves a celestial feature about a planet which had practically nothing to offer to anybody.|And most mysterious of all was the question of why they'd come out of faster-than-light drive to make of themselves a celestial feature about a planet which had practically nothing to offer to anybody.
piratesofersatz_07_leinster_64kb_f000016|Presently the spaceboat was in the very thick of the fleet. His communicator spouted voices whose tones ranged from basso profundo to high tenor,|Presently the spaceboat was in the very thick of the fleet. His communicator spouted voices whose tones ranged from basso profundo to high tenor,
piratesofersatz_07_leinster_64kb_f000017|and whose ideas of proper astrogation seemed to vary more widely still.|and whose ideas of proper astrogation seemed to vary more widely still.
piratesofersatz_07_leinster_64kb_f000018|You there! boomed a voice with deafening volume. You're in our clear-space! Sheer off!|You there! boomed a voice with deafening volume. You're in our clear-space! Sheer off!
piratesofersatz_07_leinster_64kb_f000019|The volume of a signal in space varies as the square of the distance. This voice was thunderous. It came apparently from a nearby, pot-bellied tripper ship of really ancient vintage.|The volume of a signal in space varies as the square of the distance. This voice was thunderous. It came apparently from a nearby, pot-bellied tripper ship of really ancient vintage.
piratesofersatz_07_leinster_64kb_f000020|Rows of ports in its sides had been welded over. It had rocket tubes whose size was indicative of the kind of long-obsolete fuel on which it once had operated.|Rows of ports in its sides had been welded over. It had rocket tubes whose size was indicative of the kind of long-obsolete fuel on which it once had operated.
piratesofersatz_07_leinster_64kb_f000021|Slenderer nozzles peered out of the original ones now. It had been adapted to modern propellants by simply welding modern rockets inside the old ones.|Slenderer nozzles peered out of the original ones now. It had been adapted to modern propellants by simply welding modern rockets inside the old ones.
piratesofersatz_07_leinster_64kb_f000022|It was only half a mile away.|It was only half a mile away.
piratesofersatz_07_leinster_64kb_f000023|Hoddan's spaceboat floated on. The relative position of the two ships changed slowly. Another voice said indignantly:|Hoddan's spaceboat floated on. The relative position of the two ships changed slowly. Another voice said indignantly:
piratesofersatz_07_leinster_64kb_f000024|That's the same thing that missed us by less than a mile! You, there! Stop acting like a squig! Get on your own course!|That's the same thing that missed us by less than a mile! You, there! Stop acting like a squig! Get on your own course!
piratesofersatz_07_leinster_64kb_f000025|A third voice;|A third voice;
piratesofersatz_07_leinster_64kb_f000026|What boat's that? I don't recognize it! I thought I knew all the freaks in this fleet, too!|What boat's that? I don't recognize it! I thought I knew all the freaks in this fleet, too!
piratesofersatz_07_leinster_64kb_f000027|A fourth voice said sharply:|A fourth voice said sharply:
piratesofersatz_07_leinster_64kb_f000028|That's not one of us! Look at the design! That's not us!|That's not one of us! Look at the design! That's not us!
piratesofersatz_07_leinster_64kb_f000029|Other voices broke in. There was babbling. Then a harsh voice roared:|Other voices broke in. There was babbling. Then a harsh voice roared:
piratesofersatz_07_leinster_64kb_f000030|Quiet! I order it! There was silence. The harsh voice said heavily, Relay the image to me. There was a pause. The same voice said grimly: It is not of our fleet.|Quiet! I order it! There was silence. The harsh voice said heavily, Relay the image to me. There was a pause. The same voice said grimly: It is not of our fleet.
piratesofersatz_07_leinster_64kb_f000031|You, stranger! Identify yourself! Who are you and why do you slip secretly among us?|You, stranger! Identify yourself! Who are you and why do you slip secretly among us?
piratesofersatz_07_leinster_64kb_f000032|Hoddan pushed the transmit button.|Hoddan pushed the transmit button.
piratesofersatz_07_leinster_64kb_f000033|My name is Bron Hoddan, he said. I came up to find out why three ships, and then nine ships, went into orbit around Darth.|My name is Bron Hoddan, he said. I came up to find out why three ships, and then nine ships, went into orbit around Darth.
piratesofersatz_07_leinster_64kb_f000034|It was somewhat alarming. Our landing grid's disabled, anyhow, and it seemed wisest to look you over before we communicated and possibly told you something you might not believe.|It was somewhat alarming. Our landing grid's disabled, anyhow, and it seemed wisest to look you over before we communicated and possibly told you something you might not believe.
piratesofersatz_07_leinster_64kb_f000035|But you surely don't expect to land all this fleet! Actually, we can't land any.|But you surely don't expect to land all this fleet! Actually, we can't land any.
piratesofersatz_07_leinster_64kb_f000036|The harsh voice said as grimly as before:|The harsh voice said as grimly as before:
piratesofersatz_07_leinster_64kb_f000037|You come from the planet below us? Darth? Why is your ship so small? The smallest of ours is greater.|You come from the planet below us? Darth? Why is your ship so small? The smallest of ours is greater.
piratesofersatz_07_leinster_64kb_f000038|This is a lifeboat, said Hoddan pleasantly. It's supposed to be carried on larger ships in case of emergency.|This is a lifeboat, said Hoddan pleasantly. It's supposed to be carried on larger ships in case of emergency.
piratesofersatz_07_leinster_64kb_f000039|If you will come to our leading ship, said the voice, we will answer all your questions. I will have a smoke flare set off to guide you.|If you will come to our leading ship, said the voice, we will answer all your questions. I will have a smoke flare set off to guide you.
piratesofersatz_07_leinster_64kb_f000040|Hoddan said to himself:|Hoddan said to himself:
piratesofersatz_07_leinster_64kb_f000041|No threats and no offers. I can guess why there are no threats. But they should offer something!|No threats and no offers. I can guess why there are no threats. But they should offer something!
piratesofersatz_07_leinster_64kb_f000042|He waited. There was a sudden huge eruption of vapor in space some two hundred miles away. Perhaps an ounce of explosive had been introduced into a rocket tube and fired.|He waited. There was a sudden huge eruption of vapor in space some two hundred miles away. Perhaps an ounce of explosive had been introduced into a rocket tube and fired.
piratesofersatz_07_leinster_64kb_f000043|The smoke particles, naturally ionized, added their self-repulsion to the expansiveness of the explosive's gases. A cauliflowerlike shape of filmy whiteness appeared and grew larger and thinner.|The smoke particles, naturally ionized, added their self-repulsion to the expansiveness of the explosive's gases. A cauliflowerlike shape of filmy whiteness appeared and grew larger and thinner.
