dorothy_and_wizard_oz_01_f000001|To My Readers.|To My Readers.
dorothy_and_wizard_oz_09_f000121|I I'm 'fraid he's he's running away! gasped Dorothy.|I I'm 'fraid he's he's running away! gasped Dorothy.
dorothy_and_wizard_oz_09_f000122|I KNOW he is, said Zeb; but no bear can catch him if he keeps up that gait and the harness or the buggy don't break.|I KNOW he is, said Zeb; but no bear can catch him if he keeps up that gait and the harness or the buggy don't break.
dorothy_and_wizard_oz_09_f000123|Jim did not make a mile a minute; but almost before they were aware of it he drew up at the foot of the mountain,|Jim did not make a mile a minute; but almost before they were aware of it he drew up at the foot of the mountain,
dorothy_and_wizard_oz_09_f000124|so suddenly that the Wizard and Zeb both sailed over the dashboard and landed in the soft grass where they rolled over several times before they stopped.|so suddenly that the Wizard and Zeb both sailed over the dashboard and landed in the soft grass where they rolled over several times before they stopped.
dorothy_and_wizard_oz_09_f000125|Dorothy nearly went with them, but she was holding fast to the iron rail of the seat, and that saved her. She squeezed the kitten, though, until it screeched;|Dorothy nearly went with them, but she was holding fast to the iron rail of the seat, and that saved her. She squeezed the kitten, though, until it screeched;
dorothy_and_wizard_oz_09_f000126|and then the old cab-horse made several curious sounds that led the little girl to suspect he was laughing at them all.|and then the old cab-horse made several curious sounds that led the little girl to suspect he was laughing at them all.
dorothy_and_wizard_oz_09_f000127|End of chapter 9.|End of chapter nine.
dorothy_and_wizard_oz_10_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
dorothy_and_wizard_oz_10_f000002|Dorothy and the Wizard in Oz L Frank Baum. Chapter 10. The Braided Man of Pyramid Mountain.|Dorothy and the Wizard in Oz L Frank Baum. Chapter ten. The Braided Man of Pyramid Mountain.
dorothy_and_wizard_oz_10_f000003|The mountain before them was shaped like a cone and was so tall that its point was lost in the clouds. Directly facing the place where Jim had stopped was an arched opening leading to a broad stairway.|The mountain before them was shaped like a cone and was so tall that its point was lost in the clouds. Directly facing the place where Jim had stopped was an arched opening leading to a broad stairway.
dorothy_and_wizard_oz_10_f000004|The stairs were cut in the rock inside the mountain, and they were broad and not very steep, because they circled around like a cork-screw, and at the arched opening where the flight began the circle was quite big.|The stairs were cut in the rock inside the mountain, and they were broad and not very steep, because they circled around like a cork-screw, and at the arched opening where the flight began the circle was quite big.
dorothy_and_wizard_oz_10_f000005|At the foot of the stairs was a sign reading:|At the foot of the stairs was a sign reading:
dorothy_and_wizard_oz_10_f000006|WARNING. These steps lead to the Land of the Gargoyles. DANGER! KEEP OUT.|WARNING. These steps lead to the Land of the Gargoyles. DANGER! KEEP OUT.
dorothy_and_wizard_oz_10_f000007|I wonder how Jim is ever going to draw the buggy up so many stairs, said Dorothy, gravely.|I wonder how Jim is ever going to draw the buggy up so many stairs, said Dorothy, gravely.
dorothy_and_wizard_oz_10_f000008|No trouble at all, declared the horse, with a contemptuous neigh.|No trouble at all, declared the horse, with a contemptuous neigh.
dorothy_and_wizard_oz_10_f000009|Still, I don't care to drag any passengers. You'll all have to walk.|Still, I don't care to drag any passengers. You'll all have to walk.
dorothy_and_wizard_oz_10_f000010|Suppose the stairs get steeper? suggested Zeb, doubtfully.|Suppose the stairs get steeper? suggested Zeb, doubtfully.
dorothy_and_wizard_oz_10_f000011|Then you'll have to boost the buggy-wheels, that's all, answered Jim.|Then you'll have to boost the buggy-wheels, that's all, answered Jim.
dorothy_and_wizard_oz_10_f000012|We'll try it, anyway, said the Wizard. It's the only way to get out of the Valley of Voe.|We'll try it, anyway, said the Wizard. It's the only way to get out of the Valley of Voe.
dorothy_and_wizard_oz_10_f000013|So they began to ascend the stairs, Dorothy and the Wizard first, Jim next, drawing the buggy, and then Zeb to watch that nothing happened to the harness.|So they began to ascend the stairs, Dorothy and the Wizard first, Jim next, drawing the buggy, and then Zeb to watch that nothing happened to the harness.
dorothy_and_wizard_oz_10_f000014|The light was dim, and soon they mounted into total darkness, so that the Wizard was obliged to get out his lanterns to light the way.|The light was dim, and soon they mounted into total darkness, so that the Wizard was obliged to get out his lanterns to light the way.
dorothy_and_wizard_oz_10_f000015|But this enabled them to proceed steadily until they came to a landing where there was a rift in the side of the mountain that let in both light and air.|But this enabled them to proceed steadily until they came to a landing where there was a rift in the side of the mountain that let in both light and air.
dorothy_and_wizard_oz_10_f000016|Looking through this opening they could see the Valley of Voe lying far below them, the cottages seeming like toy houses from that distance.|Looking through this opening they could see the Valley of Voe lying far below them, the cottages seeming like toy houses from that distance.
dorothy_and_wizard_oz_10_f000017|After resting a few moments they resumed their climb, and still the stairs were broad and low enough for Jim to draw the buggy easily after him.|After resting a few moments they resumed their climb, and still the stairs were broad and low enough for Jim to draw the buggy easily after him.
dorothy_and_wizard_oz_10_f000018|The old horse panted a little, and had to stop often to get his breath. At such times they were all glad to wait for him, for continually climbing up stairs is sure to make one's legs ache.|The old horse panted a little, and had to stop often to get his breath. At such times they were all glad to wait for him, for continually climbing up stairs is sure to make one's legs ache.
dorothy_and_wizard_oz_10_f000019|They wound about, always going upward, for some time. The lights from the lanterns dimly showed the way, but it was a gloomy journey,|They wound about, always going upward, for some time. The lights from the lanterns dimly showed the way, but it was a gloomy journey,
dorothy_and_wizard_oz_10_f000020|and they were pleased when a broad streak of light ahead assured them they were coming to a second landing.|and they were pleased when a broad streak of light ahead assured them they were coming to a second landing.
dorothy_and_wizard_oz_10_f000021|Here one side of the mountain had a great hole in it, like the mouth of a cavern, and the stairs stopped at the near edge of the floor and commenced ascending again at the opposite edge.|Here one side of the mountain had a great hole in it, like the mouth of a cavern, and the stairs stopped at the near edge of the floor and commenced ascending again at the opposite edge.
dorothy_and_wizard_oz_10_f000022|The opening in the mountain was on the side opposite to the Valley of Voe, and our travellers looked out upon a strange scene.|The opening in the mountain was on the side opposite to the Valley of Voe, and our travellers looked out upon a strange scene.
dorothy_and_wizard_oz_10_f000023|Below them was a vast space, at the bottom of which was a black sea with rolling billows, through which little tongues of flame constantly shot up.|Below them was a vast space, at the bottom of which was a black sea with rolling billows, through which little tongues of flame constantly shot up.
dorothy_and_wizard_oz_10_f000024|Just above them, and almost on a level with their platform, were banks of rolling clouds which constantly shifted position and changed color.|Just above them, and almost on a level with their platform, were banks of rolling clouds which constantly shifted position and changed color.
dorothy_and_wizard_oz_10_f000025|The blues and greys were very beautiful, and Dorothy noticed that on the cloud banks sat or reclined fleecy, shadowy forms of beautiful beings who must have been the Cloud Fairies.|The blues and greys were very beautiful, and Dorothy noticed that on the cloud banks sat or reclined fleecy, shadowy forms of beautiful beings who must have been the Cloud Fairies.
dorothy_and_wizard_oz_10_f000026|Mortals who stand upon the earth and look up at the sky cannot often distinguish these forms, but our friends were now so near to the clouds that they observed the dainty fairies very clearly.|Mortals who stand upon the earth and look up at the sky cannot often distinguish these forms, but our friends were now so near to the clouds that they observed the dainty fairies very clearly.
dorothy_and_wizard_oz_10_f000027|Are they real? asked Zeb, in an awed voice.|Are they real? asked Zeb, in an awed voice.
dorothy_and_wizard_oz_10_f000028|Of course, replied Dorothy, softly. They are the Cloud Fairies.|Of course, replied Dorothy, softly. They are the Cloud Fairies.
dorothy_and_wizard_oz_10_f000029|They seem like open-work, remarked the boy, gazing intently. If I should squeeze one, there wouldn't be anything left of it.|They seem like open-work, remarked the boy, gazing intently. If I should squeeze one, there wouldn't be anything left of it.
dorothy_and_wizard_oz_10_f000030|In the open space between the clouds and the black, bubbling sea far beneath, could be seen an occasional strange bird winging its way swiftly through the air.|In the open space between the clouds and the black, bubbling sea far beneath, could be seen an occasional strange bird winging its way swiftly through the air.
dorothy_and_wizard_oz_10_f000031|These birds were of enormous size, and reminded Zeb of the rocs he had read about in the Arabian Nights. They had fierce eyes and sharp talons and beaks,|These birds were of enormous size, and reminded Zeb of the rocs he had read about in the Arabian Nights. They had fierce eyes and sharp talons and beaks,
dorothy_and_wizard_oz_10_f000032|and the children hoped none of them would venture into the cavern.|and the children hoped none of them would venture into the cavern.
dorothy_and_wizard_oz_10_f000033|Well, I declare! suddenly exclaimed the little Wizard. What in the world is this?|Well, I declare! suddenly exclaimed the little Wizard. What in the world is this?
dorothy_and_wizard_oz_10_f000034|They turned around and found a man standing on the floor in the center of the cave, who bowed very politely when he saw he had attracted their attention.|They turned around and found a man standing on the floor in the center of the cave, who bowed very politely when he saw he had attracted their attention.
dorothy_and_wizard_oz_10_f000035|He was a very old man, bent nearly double; but the queerest thing about him was his white hair and beard. These were so long that they reached to his feet,|He was a very old man, bent nearly double; but the queerest thing about him was his white hair and beard. These were so long that they reached to his feet,
dorothy_and_wizard_oz_10_f000036|and both the hair and the beard were carefully plaited into many braids, and the end of each braid fastened with a bow of colored ribbon.|and both the hair and the beard were carefully plaited into many braids, and the end of each braid fastened with a bow of colored ribbon.
dorothy_and_wizard_oz_10_f000037|Where did you come from? asked Dorothy, wonderingly.|Where did you come from? asked Dorothy, wonderingly.
dorothy_and_wizard_oz_10_f000038|No place at all, answered the man with the braids; that is, not recently. Once I lived on top the earth, but for many years I have had my factory in this spot half way up Pyramid Mountain.|No place at all, answered the man with the braids; that is, not recently. Once I lived on top the earth, but for many years I have had my factory in this spot half way up Pyramid Mountain.
dorothy_and_wizard_oz_10_f000039|Are we only half way up? enquired the boy, in a discouraged tone.|Are we only half way up? enquired the boy, in a discouraged tone.
dorothy_and_wizard_oz_10_f000040|I believe so, my lad, replied the braided man. But as I have never been in either direction, down or up, since I arrived, I cannot be positive whether it is exactly half way or not.|I believe so, my lad, replied the braided man. But as I have never been in either direction, down or up, since I arrived, I cannot be positive whether it is exactly half way or not.
dorothy_and_wizard_oz_10_f000041|Have you a factory in this place? asked the Wizard, who had been examining the strange personage carefully.|Have you a factory in this place? asked the Wizard, who had been examining the strange personage carefully.
dorothy_and_wizard_oz_10_f000042|To be sure, said the other. I am a great inventor, you must know, and I manufacture my products in this lonely spot.|To be sure, said the other. I am a great inventor, you must know, and I manufacture my products in this lonely spot.
dorothy_and_wizard_oz_10_f000043|What are your products? enquired the Wizard.|What are your products? enquired the Wizard.
dorothy_and_wizard_oz_10_f000044|Well, I make Assorted Flutters for flags and bunting, and a superior grade of Rustles for ladies' silk gowns.|Well, I make Assorted Flutters for flags and bunting, and a superior grade of Rustles for ladies' silk gowns.
dorothy_and_wizard_oz_10_f000045|I thought so, said the Wizard, with a sigh. May we examine some of these articles?|I thought so, said the Wizard, with a sigh. May we examine some of these articles?
dorothy_and_wizard_oz_10_f000046|Yes, indeed; come into my shop, please, and the braided man turned and led the way into a smaller cave, where he evidently lived.|Yes, indeed; come into my shop, please, and the braided man turned and led the way into a smaller cave, where he evidently lived.
dorothy_and_wizard_oz_10_f000047|Here, on a broad shelf, were several card-board boxes of various sizes, each tied with cotton cord.|Here, on a broad shelf, were several card-board boxes of various sizes, each tied with cotton cord.
dorothy_and_wizard_oz_10_f000048|This, said the man, taking up a box and handling it gently, contains twelve dozen rustles enough to last any lady a year. Will you buy it, my dear? he asked, addressing Dorothy.|This, said the man, taking up a box and handling it gently, contains twelve dozen rustles enough to last any lady a year. Will you buy it, my dear? he asked, addressing Dorothy.
dorothy_and_wizard_oz_10_f000049|My gown isn't silk, she said, smiling.|My gown isn't silk, she said, smiling.
dorothy_and_wizard_oz_10_f000050|Never mind. When you open the box the rustles will escape, whether you are wearing a silk dress or not, said the man, seriously.|Never mind. When you open the box the rustles will escape, whether you are wearing a silk dress or not, said the man, seriously.
dorothy_and_wizard_oz_10_f000051|Then he picked up another box. In this, he continued, are many assorted flutters. They are invaluable to make flags flutter on a still day, when there is no wind.|Then he picked up another box. In this, he continued, are many assorted flutters. They are invaluable to make flags flutter on a still day, when there is no wind.
dorothy_and_wizard_oz_10_f000052|You, sir, turning to the Wizard, ought to have this assortment. Once you have tried my goods I am sure you will never be without them.|You, sir, turning to the Wizard, ought to have this assortment. Once you have tried my goods I am sure you will never be without them.
dorothy_and_wizard_oz_10_f000053|I have no money with me, said the Wizard, evasively.|I have no money with me, said the Wizard, evasively.
dorothy_and_wizard_oz_10_f000054|I do not want money, returned the braided man, for I could not spend it in this deserted place if I had it. But I would like very much a blue hair-ribbon.|I do not want money, returned the braided man, for I could not spend it in this deserted place if I had it. But I would like very much a blue hair-ribbon.
dorothy_and_wizard_oz_10_f000055|You will notice my braids are tied with yellow, pink, brown, red, green, white and black; but I have no blue ribbons.|You will notice my braids are tied with yellow, pink, brown, red, green, white and black; but I have no blue ribbons.
dorothy_and_wizard_oz_10_f000056|I'll get you one! cried Dorothy, who was sorry for the poor man; so she ran back to the buggy and took from her suit-case a pretty blue ribbon.|I'll get you one! cried Dorothy, who was sorry for the poor man; so she ran back to the buggy and took from her suit-case a pretty blue ribbon.
dorothy_and_wizard_oz_10_f000057|It did her good to see how the braided man's eyes sparkled when he received this treasure.|It did her good to see how the braided man's eyes sparkled when he received this treasure.
dorothy_and_wizard_oz_10_f000058|You have made me very, very happy, my dear! he exclaimed; and then he insisted on the Wizard taking the box of flutters and the little girl accepting the box of rustles.|You have made me very, very happy, my dear! he exclaimed; and then he insisted on the Wizard taking the box of flutters and the little girl accepting the box of rustles.
dorothy_and_wizard_oz_10_f000059|You may need them, some time, he said, and there is really no use in my manufacturing these things unless somebody uses them.|You may need them, some time, he said, and there is really no use in my manufacturing these things unless somebody uses them.
dorothy_and_wizard_oz_10_f000060|Why did you leave the surface of the earth? enquired the Wizard.|Why did you leave the surface of the earth? enquired the Wizard.
dorothy_and_wizard_oz_10_f000061|I could not help it. It is a sad story, but if you will try to restrain your tears I will tell you about it. On earth I was a manufacturer of Imported Holes for American Swiss Cheese,|I could not help it. It is a sad story, but if you will try to restrain your tears I will tell you about it. On earth I was a manufacturer of Imported Holes for American Swiss Cheese,
dorothy_and_wizard_oz_10_f000062|and I will acknowledge that I supplied a superior article, which was in great demand.|and I will acknowledge that I supplied a superior article, which was in great demand.
dorothy_and_wizard_oz_10_f000063|Also I made pores for porous plasters and high-grade holes for doughnuts and buttons. Finally I invented a new Adjustable Post-hole, which I thought would make my fortune.|Also I made pores for porous plasters and high-grade holes for doughnuts and buttons. Finally I invented a new Adjustable Post-hole, which I thought would make my fortune.
dorothy_and_wizard_oz_10_f000064|I manufactured a large quantity of these post-holes, and having no room in which to store them I set them all end to end and put the top one in the ground.|I manufactured a large quantity of these post-holes, and having no room in which to store them I set them all end to end and put the top one in the ground.
dorothy_and_wizard_oz_10_f000065|That made an extraordinary long hole, as you may imagine, and reached far down into the earth; and, as I leaned over it to try to see to the bottom,|That made an extraordinary long hole, as you may imagine, and reached far down into the earth; and, as I leaned over it to try to see to the bottom,
dorothy_and_wizard_oz_10_f000066|I lost my balance and tumbled in.|I lost my balance and tumbled in.
dorothy_and_wizard_oz_10_f000067|Unfortunately, the hole led directly into the vast space you see outside this mountain; but I managed to catch a point of rock that projected from this cavern,|Unfortunately, the hole led directly into the vast space you see outside this mountain; but I managed to catch a point of rock that projected from this cavern,
dorothy_and_wizard_oz_10_f000068|and so saved myself from tumbling headlong into the black waves beneath, where the tongues of flame that dart out would certainly have consumed me.|and so saved myself from tumbling headlong into the black waves beneath, where the tongues of flame that dart out would certainly have consumed me.
dorothy_and_wizard_oz_10_f000069|Here, then, I made my home; and although it is a lonely place I amuse myself making rustles and flutters, and so get along very nicely.|Here, then, I made my home; and although it is a lonely place I amuse myself making rustles and flutters, and so get along very nicely.
dorothy_and_wizard_oz_10_f000070|When the braided man had completed this strange tale Dorothy nearly laughed, because it was all so absurd; but the Wizard tapped his forehead significantly,|When the braided man had completed this strange tale Dorothy nearly laughed, because it was all so absurd; but the Wizard tapped his forehead significantly,
dorothy_and_wizard_oz_10_f000071|to indicate that he thought the poor man was crazy.|to indicate that he thought the poor man was crazy.
dorothy_and_wizard_oz_10_f000072|So they politely bade him good day, and went back to the outer cavern to resume their journey.|So they politely bade him good day, and went back to the outer cavern to resume their journey.
dorothy_and_wizard_oz_10_f000073|End of chapter 10.|End of chapter ten.
dorothy_and_wizard_oz_11_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
dorothy_and_wizard_oz_11_f000002|Dorothy and the Wizard in Oz L Frank Baum. Chapter 11. They Meet the Wooden Gargoyles.|Dorothy and the Wizard in Oz L Frank Baum. Chapter eleven. They Meet the Wooden Gargoyles.
dorothy_and_wizard_oz_11_f000003|Another breathless climb brought our adventurers to a third landing where there was a rift in the mountain. On peering out all they could see was rolling banks of clouds,|Another breathless climb brought our adventurers to a third landing where there was a rift in the mountain. On peering out all they could see was rolling banks of clouds,
dorothy_and_wizard_oz_11_f000004|so thick that they obscured all else.|so thick that they obscured all else.
dorothy_and_wizard_oz_11_f000005|But the travellers were obliged to rest, and while they were sitting on the rocky floor the Wizard felt in his pocket and brought out the nine tiny piglets.|But the travellers were obliged to rest, and while they were sitting on the rocky floor the Wizard felt in his pocket and brought out the nine tiny piglets.
dorothy_and_wizard_oz_11_f000006|To his delight they were now plainly visible, which proved that they had passed beyond the influence of the magical Valley of Voe.|To his delight they were now plainly visible, which proved that they had passed beyond the influence of the magical Valley of Voe.
dorothy_and_wizard_oz_11_f000007|Why, we can see each other again! cried one, joyfully.|Why, we can see each other again! cried one, joyfully.
dorothy_and_wizard_oz_11_f000008|Yes, sighed Eureka; and I also can see you again, and the sight makes me dreadfully hungry. Please, Mr. Wizard, may I eat just one of the fat little piglets?|Yes, sighed Eureka; and I also can see you again, and the sight makes me dreadfully hungry. Please, Mr. Wizard, may I eat just one of the fat little piglets?
dorothy_and_wizard_oz_11_f000009|You'd never miss ONE of them, I'm sure!|You'd never miss ONE of them, I'm sure!
dorothy_and_wizard_oz_11_f000010|What a horrid, savage beast! exclaimed a piglet; and after we've been such good friends, too, and played with one another!|What a horrid, savage beast! exclaimed a piglet; and after we've been such good friends, too, and played with one another!
dorothy_and_wizard_oz_11_f000011|When I'm not hungry, I love to play with you all, said the kitten, demurely; but when my stomach is empty it seems that nothing would fill it so nicely as a fat piglet.|When I'm not hungry, I love to play with you all, said the kitten, demurely; but when my stomach is empty it seems that nothing would fill it so nicely as a fat piglet.
dorothy_and_wizard_oz_11_f000012|And we trusted you so! said another of the nine, reproachfully.|And we trusted you so! said another of the nine, reproachfully.
dorothy_and_wizard_oz_11_f000013|And thought you were respectable! said another.|And thought you were respectable! said another.
dorothy_and_wizard_oz_11_f000014|It seems we were mistaken, declared a third, looking at the kitten timorously, no one with such murderous desires should belong to our party, I'm sure.|It seems we were mistaken, declared a third, looking at the kitten timorously, no one with such murderous desires should belong to our party, I'm sure.
dorothy_and_wizard_oz_11_f000015|You see, Eureka, remarked Dorothy, reprovingly, you are making yourself disliked. There are certain things proper for a kitten to eat; but I never heard of a kitten eating a pig, under ANY cir'stances.|You see, Eureka, remarked Dorothy, reprovingly, you are making yourself disliked. There are certain things proper for a kitten to eat; but I never heard of a kitten eating a pig, under ANY cir'stances.
dorothy_and_wizard_oz_11_f000016|Did you ever see such little pigs before? asked the kitten. They are no bigger than mice, and I'm sure mice are proper for me to eat.|Did you ever see such little pigs before? asked the kitten. They are no bigger than mice, and I'm sure mice are proper for me to eat.
dorothy_and_wizard_oz_11_f000017|It isn't the bigness, dear; its the variety, replied the girl.|It isn't the bigness, dear; its the variety, replied the girl.
dorothy_and_wizard_oz_11_f000018|These are Mr. Wizard's pets, just as you are my pet, and it wouldn't be any more proper for you to eat them than it would be for Jim to eat you.|These are Mr. Wizard's pets, just as you are my pet, and it wouldn't be any more proper for you to eat them than it would be for Jim to eat you.
dorothy_and_wizard_oz_11_f000019|And that's just what I shall do if you don't let those little balls of pork alone, said Jim, glaring at the kitten with his round, big eyes.|And that's just what I shall do if you don't let those little balls of pork alone, said Jim, glaring at the kitten with his round, big eyes.
dorothy_and_wizard_oz_11_f000020|If you injure any one of them I'll chew you up instantly.|If you injure any one of them I'll chew you up instantly.
dorothy_and_wizard_oz_11_f000021|The kitten looked at the horse thoughtfully, as if trying to decide whether he meant it or not.|The kitten looked at the horse thoughtfully, as if trying to decide whether he meant it or not.
dorothy_and_wizard_oz_11_f000022|In that case, she said, I'll leave them alone. You haven't many teeth left, Jim, but the few you have are sharp enough to make me shudder.|In that case, she said, I'll leave them alone. You haven't many teeth left, Jim, but the few you have are sharp enough to make me shudder.
dorothy_and_wizard_oz_11_f000023|So the piglets will be perfectly safe, hereafter, as far as I am concerned.|So the piglets will be perfectly safe, hereafter, as far as I am concerned.
dorothy_and_wizard_oz_11_f000024|That is right, Eureka, remarked the Wizard, earnestly. Let us all be a happy family and love one another.|That is right, Eureka, remarked the Wizard, earnestly. Let us all be a happy family and love one another.
dorothy_and_wizard_oz_11_f000025|Eureka yawned and stretched herself.|Eureka yawned and stretched herself.
dorothy_and_wizard_oz_11_f000026|I've always loved the piglets, she said; but they don't love me.|I've always loved the piglets, she said; but they don't love me.
dorothy_and_wizard_oz_11_f000027|No one can love a person he's afraid of, asserted Dorothy. If you behave, and don't scare the little pigs, I'm sure they'll grow very fond of you.|No one can love a person he's afraid of, asserted Dorothy. If you behave, and don't scare the little pigs, I'm sure they'll grow very fond of you.
dorothy_and_wizard_oz_11_f000028|The Wizard now put the nine tiny ones back into his pocket and the journey was resumed.|The Wizard now put the nine tiny ones back into his pocket and the journey was resumed.
dorothy_and_wizard_oz_11_f000029|We must be pretty near the top, now, said the boy, as they climbed wearily up the dark, winding stairway.|We must be pretty near the top, now, said the boy, as they climbed wearily up the dark, winding stairway.
dorothy_and_wizard_oz_11_f000030|The Country of the Gurgles can't be far from the top of the earth, remarked Dorothy. It isn't very nice down here. I'd like to get home again, I'm sure.|The Country of the Gurgles can't be far from the top of the earth, remarked Dorothy. It isn't very nice down here. I'd like to get home again, I'm sure.
dorothy_and_wizard_oz_11_f000031|No one replied to this, because they found they needed all their breath for the climb. The stairs had become narrower and Zeb and the Wizard often had to help Jim pull the buggy from one step to another,|No one replied to this, because they found they needed all their breath for the climb. The stairs had become narrower and Zeb and the Wizard often had to help Jim pull the buggy from one step to another,
dorothy_and_wizard_oz_11_f000032|or keep it from jamming against the rocky walls.|or keep it from jamming against the rocky walls.
dorothy_and_wizard_oz_11_f000033|At last, however, a dim light appeared ahead of them, which grew clearer and stronger as they advanced.|At last, however, a dim light appeared ahead of them, which grew clearer and stronger as they advanced.
dorothy_and_wizard_oz_11_f000034|Thank goodness we're nearly there! panted the little Wizard.|Thank goodness we're nearly there! panted the little Wizard.
dorothy_and_wizard_oz_11_f000035|Jim, who was in advance, saw the last stair before him and stuck his head above the rocky sides of the stairway. Then he halted, ducked down and began to back up,|Jim, who was in advance, saw the last stair before him and stuck his head above the rocky sides of the stairway. Then he halted, ducked down and began to back up,
dorothy_and_wizard_oz_11_f000036|so that he nearly fell with the buggy onto the others.|so that he nearly fell with the buggy onto the others.
dorothy_and_wizard_oz_11_f000037|Let's go down again! he said, in his hoarse voice.|Let's go down again! he said, in his hoarse voice.
dorothy_and_wizard_oz_11_f000038|Nonsense! snapped the tired Wizard. What's the matter with you, old man?|Nonsense! snapped the tired Wizard. What's the matter with you, old man?
dorothy_and_wizard_oz_11_f000039|Everything, grumbled the horse. I've taken a look at this place, and it's no fit country for real creatures to go to. Everything's dead, up there no flesh or blood or growing thing anywhere.|Everything, grumbled the horse. I've taken a look at this place, and it's no fit country for real creatures to go to. Everything's dead, up there no flesh or blood or growing thing anywhere.
dorothy_and_wizard_oz_11_f000040|Never mind; we can't turn back, said Dorothy; and we don't intend to stay there, anyhow.|Never mind; we can't turn back, said Dorothy; and we don't intend to stay there, anyhow.
dorothy_and_wizard_oz_11_f000041|It's dangerous, growled Jim, in a stubborn tone.|It's dangerous, growled Jim, in a stubborn tone.
dorothy_and_wizard_oz_11_f000042|See here, my good steed, broke in the Wizard, little Dorothy and I have been in many queer countries in our travels, and always escaped without harm.|See here, my good steed, broke in the Wizard, little Dorothy and I have been in many queer countries in our travels, and always escaped without harm.
dorothy_and_wizard_oz_11_f000043|We've even been to the marvelous Land of Oz haven't we, Dorothy? so we don't much care what the Country of the Gargoyles is like.|We've even been to the marvelous Land of Oz haven't we, Dorothy? so we don't much care what the Country of the Gargoyles is like.
dorothy_and_wizard_oz_11_f000044|Go ahead, Jim, and whatever happens we'll make the best of it.|Go ahead, Jim, and whatever happens we'll make the best of it.
dorothy_and_wizard_oz_11_f000045|All right, answered the horse; this is your excursion, and not mine; so if you get into trouble don't blame me.|All right, answered the horse; this is your excursion, and not mine; so if you get into trouble don't blame me.
dorothy_and_wizard_oz_11_f000046|With this speech he bent forward and dragged the buggy up the remaining steps.|With this speech he bent forward and dragged the buggy up the remaining steps.
dorothy_and_wizard_oz_11_f000047|The others followed and soon they were all standing upon a broad platform and gazing at the most curious and startling sight their eyes had ever beheld.|The others followed and soon they were all standing upon a broad platform and gazing at the most curious and startling sight their eyes had ever beheld.
dorothy_and_wizard_oz_11_f000048|The Country of the Gargoyles is all wooden! exclaimed Zeb; and so it was. The ground was sawdust and the pebbles scattered around were hard knots from trees,|The Country of the Gargoyles is all wooden! exclaimed Zeb; and so it was. The ground was sawdust and the pebbles scattered around were hard knots from trees,
dorothy_and_wizard_oz_11_f000049|worn smooth in course of time.|worn smooth in course of time.
dorothy_and_wizard_oz_11_f000050|There were odd wooden houses, with carved wooden flowers in the front yards. The tree-trunks were of coarse wood, but the leaves of the trees were shavings.|There were odd wooden houses, with carved wooden flowers in the front yards. The tree-trunks were of coarse wood, but the leaves of the trees were shavings.
dorothy_and_wizard_oz_11_f000051|The patches of grass were splinters of wood, and where neither grass nor sawdust showed was a solid wooden flooring. Wooden birds fluttered among the trees and wooden cows were browsing upon the wooden grass;|The patches of grass were splinters of wood, and where neither grass nor sawdust showed was a solid wooden flooring. Wooden birds fluttered among the trees and wooden cows were browsing upon the wooden grass;
dorothy_and_wizard_oz_11_f000052|but the most amazing things of all were the wooden people the creatures known as Gargoyles.|but the most amazing things of all were the wooden people the creatures known as Gargoyles.
dorothy_and_wizard_oz_11_f000053|These were very numerous, for the place was thickly inhabited, and a large group of the queer people clustered near, gazing sharply upon the strangers who had emerged from the long spiral stairway.|These were very numerous, for the place was thickly inhabited, and a large group of the queer people clustered near, gazing sharply upon the strangers who had emerged from the long spiral stairway.
dorothy_and_wizard_oz_11_f000054|The Gargoyles were very small of stature, being less than three feet in height. Their bodies were round, their legs short and thick and their arms extraordinarily long and stout.|The Gargoyles were very small of stature, being less than three feet in height. Their bodies were round, their legs short and thick and their arms extraordinarily long and stout.
dorothy_and_wizard_oz_11_f000055|Their heads were too big for their bodies and their faces were decidedly ugly to look upon. Some had long, curved noses and chins, small eyes and wide, grinning mouths.|Their heads were too big for their bodies and their faces were decidedly ugly to look upon. Some had long, curved noses and chins, small eyes and wide, grinning mouths.
dorothy_and_wizard_oz_11_f000056|Others had flat noses, protruding eyes, and ears that were shaped like those of an elephant. There were many types, indeed, scarcely two being alike;|Others had flat noses, protruding eyes, and ears that were shaped like those of an elephant. There were many types, indeed, scarcely two being alike;
dorothy_and_wizard_oz_11_f000057|but all were equally disagreeable in appearance.|but all were equally disagreeable in appearance.
dorothy_and_wizard_oz_11_f000058|The tops of their heads had no hair, but were carved into a variety of fantastic shapes, some having a row of points or balls around the top,|The tops of their heads had no hair, but were carved into a variety of fantastic shapes, some having a row of points or balls around the top,
dorothy_and_wizard_oz_11_f000059|others designs resembling flowers or vegetables, and still others having squares that looked like waffles cut criss-cross on their heads.|others designs resembling flowers or vegetables, and still others having squares that looked like waffles cut criss-cross on their heads.
