skyisland_01_baum_64kb_f000003|BY L FRANK BAUM.|BY L FRANK BAUM.
skyisland_17_baum_64kb_f000019|The country was not so trim and neatly kept near the edge, for it was evident the people did not care to go too near to the dangerous place.|The country was not so trim and neatly kept near the edge, for it was evident the people did not care to go too near to the dangerous place.
skyisland_17_baum_64kb_f000020|There was a row of thick bushes which concealed the gulf below, and as they approached these bushes the rain abruptly ceased, and the clouds began to break and drift away in the sky.|There was a row of thick bushes which concealed the gulf below, and as they approached these bushes the rain abruptly ceased, and the clouds began to break and drift away in the sky.
skyisland_17_baum_64kb_f000021|Two of you seize the girl and throw her over, said Tourmaline in a calm, matter-of-fact way, and two others must throw the boy over.|Two of you seize the girl and throw her over, said Tourmaline in a calm, matter-of-fact way, and two others must throw the boy over.
skyisland_17_baum_64kb_f000022|It may take four, perhaps, to lift the huge and ancient man. More'n that, said captain Bill grimly. I'm pretty sure it'll take all of you, young lady,|It may take four, perhaps, to lift the huge and ancient man. More'n that, said captain Bill grimly. I'm pretty sure it'll take all of you, young lady,
skyisland_17_baum_64kb_f000023|and the chances are you won't do it then.|and the chances are you won't do it then.
skyisland_17_baum_64kb_f000024|They had halted a short distance from the bushes, and now there suddenly appeared through a rift in the clouds an immense Rainbow.|They had halted a short distance from the bushes, and now there suddenly appeared through a rift in the clouds an immense Rainbow.
skyisland_17_baum_64kb_f000025|It was perfectly formed and glistened with a dozen or more superb tintings that were so vivid and brilliant and blended into one another so exquisitely that everyone paused to gaze enraptured upon the sight.|It was perfectly formed and glistened with a dozen or more superb tintings that were so vivid and brilliant and blended into one another so exquisitely that everyone paused to gaze enraptured upon the sight.
skyisland_17_baum_64kb_f000026|Steadily, yet with wonderful swiftness, the end of the great bow descended until it rested upon the pink field almost at the feet of the little party of observers.|Steadily, yet with wonderful swiftness, the end of the great bow descended until it rested upon the pink field almost at the feet of the little party of observers.
skyisland_17_baum_64kb_f000027|Then they saw, dancing gaily upon the arch, a score of beautiful maidens, dressed in fleecy robes of rainbow tints which fluttered around them like clouds.|Then they saw, dancing gaily upon the arch, a score of beautiful maidens, dressed in fleecy robes of rainbow tints which fluttered around them like clouds.
skyisland_17_baum_64kb_f000028|The Daughters of the Rainbow! whispered Tourmaline in an awed voice, and the Witch beside her nodded and said, Fairies of the sky.|The Daughters of the Rainbow! whispered Tourmaline in an awed voice, and the Witch beside her nodded and said, Fairies of the sky.
skyisland_17_baum_64kb_f000029|What did I tell you, Tourmaline? Just then one of the maidens tripped lightly down the span of the arch until near the very end, leaning over to observe the group below.|What did I tell you, Tourmaline? Just then one of the maidens tripped lightly down the span of the arch until near the very end, leaning over to observe the group below.
skyisland_17_baum_64kb_f000030|She was exquisitely fair, dainty as a lily and graceful as a bough swaying in the breeze. Why, it's Polychrome! exclaimed Button-Bright in a voice of mingled wonder and delight.|She was exquisitely fair, dainty as a lily and graceful as a bough swaying in the breeze. Why, it's Polychrome! exclaimed Button-Bright in a voice of mingled wonder and delight.
skyisland_17_baum_64kb_f000031|Hello, Polly! Don't you remember me? Of course I remember Button-Bright, replied the maiden in a sweet, tinkling voice. The last time I saw you was in the Land of Oz.|Hello, Polly! Don't you remember me? Of course I remember Button-Bright, replied the maiden in a sweet, tinkling voice. The last time I saw you was in the Land of Oz.
skyisland_17_baum_64kb_f000032|Oh! cried Trot, turning to stare at the boy with big, wide-open eyes.|Oh! cried Trot, turning to stare at the boy with big, wide-open eyes.
skyisland_17_baum_64kb_f000033|Were you ever in the Land of Oz? Yes, he answered, still looking at the Rainbow's Daughter, and then he said appealingly, These people want to kill us, Polly.|Were you ever in the Land of Oz? Yes, he answered, still looking at the Rainbow's Daughter, and then he said appealingly, These people want to kill us, Polly.
skyisland_17_baum_64kb_f000034|Can't you help us? Polly wants a cracker!|Can't you help us? Polly wants a cracker!
skyisland_17_baum_64kb_f000035|Polly wants a cracker! screeched the parrot.|Polly wants a cracker! screeched the parrot.
skyisland_17_baum_64kb_f000036|Polychrome straightened up and glanced at her sisters. Tell Father to call for me in an hour or two, said she. There is work for me to do here,|Polychrome straightened up and glanced at her sisters. Tell Father to call for me in an hour or two, said she. There is work for me to do here,
skyisland_17_baum_64kb_f000037|for one of my old friends is in trouble.|for one of my old friends is in trouble.
skyisland_17_baum_64kb_f000038|With this she sprang lightly from the rainbow and stood beside Button-Bright and Trot, and scarcely had she left the splendid arch when it lifted and rose into the sky.|With this she sprang lightly from the rainbow and stood beside Button-Bright and Trot, and scarcely had she left the splendid arch when it lifted and rose into the sky.
skyisland_17_baum_64kb_f000039|The other end had been hidden in the clouds, and now the Rainbow began to fade gradually, like mist,|The other end had been hidden in the clouds, and now the Rainbow began to fade gradually, like mist,
skyisland_17_baum_64kb_f000040|and the sun broke through the clouds and shot its cheering rays over the Pink Country until presently the Rainbow had vanished altogether|and the sun broke through the clouds and shot its cheering rays over the Pink Country until presently the Rainbow had vanished altogether
skyisland_17_baum_64kb_f000041|and the only reminder of it was the lovely Polychrome standing among the wondering band of Pinkies. Tell me, she said gently to the boy, why are you here,|and the only reminder of it was the lovely Polychrome standing among the wondering band of Pinkies. Tell me, she said gently to the boy, why are you here,
skyisland_17_baum_64kb_f000042|and why do these people of the sky wish to destroy you? In a few hurried words Button-Bright related their adventures with the Magic Umbrella|and why do these people of the sky wish to destroy you? In a few hurried words Button-Bright related their adventures with the Magic Umbrella
skyisland_17_baum_64kb_f000043|and how the Boolooroo had stolen it and they had been obliged to escape into the Pink Country. Polychrome listened and then turned to the Queen.|and how the Boolooroo had stolen it and they had been obliged to escape into the Pink Country. Polychrome listened and then turned to the Queen.
skyisland_17_baum_64kb_f000044|Why have you decreed death to these innocent strangers? she asked.|Why have you decreed death to these innocent strangers? she asked.
skyisland_17_baum_64kb_f000045|They do not harmonize with our color scheme, replied Tourmaline.|They do not harmonize with our color scheme, replied Tourmaline.
skyisland_17_baum_64kb_f000046|That is utter nonsense, declared Polychrome impatiently. You're so dreadfully pink here that your color, which in itself is beautiful, had become tame and insipid.|That is utter nonsense, declared Polychrome impatiently. You're so dreadfully pink here that your color, which in itself is beautiful, had become tame and insipid.
skyisland_17_baum_64kb_f000047|What you really need is some sharp contrast to enhance the charm of your country, and to keep these three people here would be a benefit rather than an injury to you.|What you really need is some sharp contrast to enhance the charm of your country, and to keep these three people here would be a benefit rather than an injury to you.
skyisland_17_baum_64kb_f000048|At this, the Pinkies looked downcast and ashamed, while only Rosalie the Witch laughed and seemed to enjoy the rebuke. But, protested Tourmaline,|At this, the Pinkies looked downcast and ashamed, while only Rosalie the Witch laughed and seemed to enjoy the rebuke. But, protested Tourmaline,
skyisland_17_baum_64kb_f000049|the Great Book of Laws says our country shall harbor none but the Pinkies.|the Great Book of Laws says our country shall harbor none but the Pinkies.
skyisland_17_baum_64kb_f000050|Does it indeed? asked the Rainbow's Daughter. Come, let us return at once to your City and examine your Book of Laws. I am quite sure I can find in them absolute protection for these poor wanderers.|Does it indeed? asked the Rainbow's Daughter. Come, let us return at once to your City and examine your Book of Laws. I am quite sure I can find in them absolute protection for these poor wanderers.
skyisland_17_baum_64kb_f000051|They dared not disobey Polychrome's request, so at once they all turned and walked back to the City. As it was still muddy underfoot, the Rainbow's Daughter took a cloak from one of the women,|They dared not disobey Polychrome's request, so at once they all turned and walked back to the City. As it was still muddy underfoot, the Rainbow's Daughter took a cloak from one of the women,
skyisland_17_baum_64kb_f000052|partly rolled it, and threw it upon the ground.|partly rolled it, and threw it upon the ground.
skyisland_17_baum_64kb_f000053|Then she stepped upon it and began walking forward. The cloak unrolled as she advanced, affording a constant carpet for her feet and for those of the others who followed her.|Then she stepped upon it and began walking forward. The cloak unrolled as she advanced, affording a constant carpet for her feet and for those of the others who followed her.
skyisland_17_baum_64kb_f000054|So, being protected from the mud and wet, they speedily gained the City and in a short time were all gathered in the low room of Tourmaline's palace,|So, being protected from the mud and wet, they speedily gained the City and in a short time were all gathered in the low room of Tourmaline's palace,
skyisland_17_baum_64kb_f000055|where the Great Book of Laws lay upon a table.|where the Great Book of Laws lay upon a table.
skyisland_17_baum_64kb_f000056|Polychrome began turning over the leaves, while the others all watched her anxiously and in silence. Here, she said presently, is a Law which reads as follows:|Polychrome began turning over the leaves, while the others all watched her anxiously and in silence. Here, she said presently, is a Law which reads as follows:
skyisland_17_baum_64kb_f000057|'Everyone in the Pink Country is entitled to the protection of the Ruler and to a house and a good living, except only the Blueskins.|'Everyone in the Pink Country is entitled to the protection of the Ruler and to a house and a good living, except only the Blueskins.
skyisland_17_baum_64kb_f000058|If any of the natives of the Blue Country should ever break through the Fog Bank, they must be driven back with sharp sticks.|If any of the natives of the Blue Country should ever break through the Fog Bank, they must be driven back with sharp sticks.
skyisland_17_baum_64kb_f000059|' Have you read this Law, Tourmaline? Yes, said the Queen, but how does that apply to these strangers? Why, being in the Pink Country, as they surely are,|' Have you read this Law, Tourmaline? Yes, said the Queen, but how does that apply to these strangers? Why, being in the Pink Country, as they surely are,
skyisland_17_baum_64kb_f000060|and not being Blueskins, they are by this Law entitled to protection, to a home and good living.|and not being Blueskins, they are by this Law entitled to protection, to a home and good living.
skyisland_17_baum_64kb_f000061|The Law does not say 'Pinkies,' it says any who are in the Pink Country. True, agreed Coralie, greatly pleased, and all the other Pinkies nodded their heads and repeated, True, true!|The Law does not say 'Pinkies,' it says any who are in the Pink Country. True, agreed Coralie, greatly pleased, and all the other Pinkies nodded their heads and repeated, True, true!
skyisland_17_baum_64kb_f000062|The rose is red, the violet's blue, The law's the thing, because it's true! cried the parrot.|The rose is red, the violet's blue, The law's the thing, because it's true! cried the parrot.
skyisland_17_baum_64kb_f000063|I am indeed relieved to have you interpret the Law in this way, declared Tourmaline. I knew it was cruel to throw these poor people over the edge,|I am indeed relieved to have you interpret the Law in this way, declared Tourmaline. I knew it was cruel to throw these poor people over the edge,
skyisland_17_baum_64kb_f000064|but that seemed to us the only thing to be done.|but that seemed to us the only thing to be done.
skyisland_17_baum_64kb_f000065|It was cruel and unjust, answered Polychrome as sternly as her sweet voice could speak. But here, she added, for she had still continued to turn the leaves of the Great Book,|It was cruel and unjust, answered Polychrome as sternly as her sweet voice could speak. But here, she added, for she had still continued to turn the leaves of the Great Book,
skyisland_17_baum_64kb_f000066|is another Law which you have also overlooked.|is another Law which you have also overlooked.
skyisland_17_baum_64kb_f000067|It says, 'The person, whether man or woman, boy or girl, living in the Pink Country who has the lightest skin shall be the Ruler King or Queen as long as he or she lives,|It says, 'The person, whether man or woman, boy or girl, living in the Pink Country who has the lightest skin shall be the Ruler King or Queen as long as he or she lives,
skyisland_17_baum_64kb_f000068|unless someone of a lighter skin is found, and this Ruler's commands all the people must obey.|unless someone of a lighter skin is found, and this Ruler's commands all the people must obey.
skyisland_17_baum_64kb_f000069|' Do you know this Law? Oh yes, replied Tourmaline. That is why I am the Queen. You will notice my complexion is of a lighter pink than that of any other of my people.|' Do you know this Law? Oh yes, replied Tourmaline. That is why I am the Queen. You will notice my complexion is of a lighter pink than that of any other of my people.
skyisland_17_baum_64kb_f000070|Yes, remarked Polychrome, looking at her critically, when you were made Queen without doubt you had the lightest-colored skin in all the Pink Country.|Yes, remarked Polychrome, looking at her critically, when you were made Queen without doubt you had the lightest-colored skin in all the Pink Country.
skyisland_17_baum_64kb_f000071|But now you are no longer Queen of the Pinkies, Tourmaline. Those assembled were so startled by this statement that they gazed at the Rainbow's Daughter in astonishment for a time.|But now you are no longer Queen of the Pinkies, Tourmaline. Those assembled were so startled by this statement that they gazed at the Rainbow's Daughter in astonishment for a time.
skyisland_17_baum_64kb_f000072|Then Tourmaline asked, Why not, your Highness? Because here is one lighter in color than yourself, pointed to Trot.|Then Tourmaline asked, Why not, your Highness? Because here is one lighter in color than yourself, pointed to Trot.
skyisland_17_baum_64kb_f000073|This girl is, by the Law of the Great Book, the rightful Queen of the Pinkies, and as loyal citizens you are all obliged to obey her commands.|This girl is, by the Law of the Great Book, the rightful Queen of the Pinkies, and as loyal citizens you are all obliged to obey her commands.
skyisland_17_baum_64kb_f000074|Give me that circlet from your brow, Tourmaline. Without hesitation Tourmaline removed the rose-gold circlet with its glittering jewel and handed it to Polychrome,|Give me that circlet from your brow, Tourmaline. Without hesitation Tourmaline removed the rose-gold circlet with its glittering jewel and handed it to Polychrome,
skyisland_17_baum_64kb_f000075|who turned and placed it upon Trot's brow.|who turned and placed it upon Trot's brow.
skyisland_17_baum_64kb_f000076|Then she called in a loud, imperative voice, Greet your new Queen, Pinkies! One by one they all advanced, knelt before Trot and pressed her hand to their lips.|Then she called in a loud, imperative voice, Greet your new Queen, Pinkies! One by one they all advanced, knelt before Trot and pressed her hand to their lips.
skyisland_17_baum_64kb_f000077|Long live Queen Mayre! called out captain Bill, dancing around on his wooden leg in great delight. Vive la Vive la ah, ah, Trot! Thank you, Polly, said Button-Bright gratefully.|Long live Queen Mayre! called out captain Bill, dancing around on his wooden leg in great delight. Vive la Vive la ah, ah, Trot! Thank you, Polly, said Button-Bright gratefully.
skyisland_17_baum_64kb_f000078|This will fix us all right, I'm sure. Why, I have done nothing, returned Polychrome, smiling upon him. It is the Law of the Country.|This will fix us all right, I'm sure. Why, I have done nothing, returned Polychrome, smiling upon him. It is the Law of the Country.
skyisland_17_baum_64kb_f000079|Isn't it surprising how little people know of their Laws? Are you all contented, Pinkies? she asked, turning to the people.|Isn't it surprising how little people know of their Laws? Are you all contented, Pinkies? she asked, turning to the people.
skyisland_17_baum_64kb_f000080|We are! they cried. Then several of the men ran out to spread the news throughout the City and Country, so that a vast crowd soon began to gather in the Court of the Statues.|We are! they cried. Then several of the men ran out to spread the news throughout the City and Country, so that a vast crowd soon began to gather in the Court of the Statues.
skyisland_17_baum_64kb_f000081|End of chapter 17.|End of chapter seventeen.
skyisland_18_baum_64kb_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
skyisland_18_baum_64kb_f000002|Sky island by L Frank Baum. Chapter 18 MAYRE, QUEEN OF THE PINK COUNTRY. Polychrome now dismissed all but Button-Bright, captain Bill, Rosalie the Witch and the new Queen of the Pinkies.|Sky island by L Frank Baum. Chapter eighteen MAYRE, QUEEN OF THE PINK COUNTRY. Polychrome now dismissed all but Button-Bright, captain Bill, Rosalie the Witch and the new Queen of the Pinkies.
skyisland_18_baum_64kb_f000003|Tourmaline hastened away to her father's house to put on a beautiful gown all covered with flounces and ribbons,|Tourmaline hastened away to her father's house to put on a beautiful gown all covered with flounces and ribbons,
skyisland_18_baum_64kb_f000004|for she was glad to be relieved of the duties of the Queen and was eager to be gaily dressed and one of the people again.|for she was glad to be relieved of the duties of the Queen and was eager to be gaily dressed and one of the people again.
skyisland_18_baum_64kb_f000005|I s'pose, said Trot, I'll have to put on one of Tourmaline's common pink dresses. Yes, replied Polychrome, you must follow the customs of the country, absurd though they may be.|I s'pose, said Trot, I'll have to put on one of Tourmaline's common pink dresses. Yes, replied Polychrome, you must follow the customs of the country, absurd though they may be.
skyisland_18_baum_64kb_f000006|In the little sleeping chamber adjoining this room you will find plenty of gowns poor enough for the Queen to wear. Shall I assist you to put one on?|In the little sleeping chamber adjoining this room you will find plenty of gowns poor enough for the Queen to wear. Shall I assist you to put one on?
skyisland_18_baum_64kb_f000007|No, answered Trot, I guess I can manage it alone.|No, answered Trot, I guess I can manage it alone.
skyisland_18_baum_64kb_f000008|When she withdrew to the little chamber, the Rainbow's Daughter began conversing with the Witch, whom she urged to stay with the new queen and protect her as long as she ruled the Pink Country.|When she withdrew to the little chamber, the Rainbow's Daughter began conversing with the Witch, whom she urged to stay with the new queen and protect her as long as she ruled the Pink Country.
skyisland_18_baum_64kb_f000009|Rosalie, who longed to please the powerful Polychrome, whose fairy powers as Daughters of the Rainbow were far superior to her own witchcraft,|Rosalie, who longed to please the powerful Polychrome, whose fairy powers as Daughters of the Rainbow were far superior to her own witchcraft,
skyisland_18_baum_64kb_f000010|promised faithfully to devote herself to Queen Mayre as long as she might need her services.|promised faithfully to devote herself to Queen Mayre as long as she might need her services.
skyisland_18_baum_64kb_f000011|By the time Trot was dressed in pink and had returned to the room, there was an excited and clamorous crowd assembled in the court, and Polychrome took the little girl's hand and led her out to greet her new subjects.|By the time Trot was dressed in pink and had returned to the room, there was an excited and clamorous crowd assembled in the court, and Polychrome took the little girl's hand and led her out to greet her new subjects.
skyisland_18_baum_64kb_f000012|The Pinkies were much impressed by the fact that the Rainbow's Daughter was their new Queen's friend, and that Rosalie the Witch stood on Trot's left hand and treated her with humble deference.|The Pinkies were much impressed by the fact that the Rainbow's Daughter was their new Queen's friend, and that Rosalie the Witch stood on Trot's left hand and treated her with humble deference.
skyisland_18_baum_64kb_f000013|So they shouted their approval very enthusiastically and pressed forward one by one to kneel before their new Ruler and kiss her hand.|So they shouted their approval very enthusiastically and pressed forward one by one to kneel before their new Ruler and kiss her hand.
skyisland_18_baum_64kb_f000014|The parrot was now on captain Bill's shoulder, for Trot thought a Queen ought not to carry a bird around, but the parrot did not mind the change and was as much excited as anyone in the crowd.|The parrot was now on captain Bill's shoulder, for Trot thought a Queen ought not to carry a bird around, but the parrot did not mind the change and was as much excited as anyone in the crowd.
skyisland_18_baum_64kb_f000015|Oh, what bliss to kiss a miss! he shouted as Trot held out her hand to be kissed by her subjects, and then he would scream, We're in the sky and flyin' high;|Oh, what bliss to kiss a miss! he shouted as Trot held out her hand to be kissed by her subjects, and then he would scream, We're in the sky and flyin' high;
skyisland_18_baum_64kb_f000016|We're goin' to live instead of die, It's time to laugh instead of cry; Oh, my!|We're goin' to live instead of die, It's time to laugh instead of cry; Oh, my!
skyisland_18_baum_64kb_f000017|Ki-yi! Ain't this a pie? captain Bill let the bird jabber as he pleased, for the occasion was a joyful one, and it was no wonder the parrot was excited.|Ki-yi! Ain't this a pie? captain Bill let the bird jabber as he pleased, for the occasion was a joyful one, and it was no wonder the parrot was excited.
skyisland_18_baum_64kb_f000018|And while the throng shouted greetings to the Queen, suddenly the great Rainbow appeared in the sky and dropped its end right on the Court of the Statues.|And while the throng shouted greetings to the Queen, suddenly the great Rainbow appeared in the sky and dropped its end right on the Court of the Statues.
skyisland_18_baum_64kb_f000019|Polychrome stooped to kiss Trot and Button-Bright, gave captain Bill a charming smile and Rosalie the Witch a friendly nod of farewell.|Polychrome stooped to kiss Trot and Button-Bright, gave captain Bill a charming smile and Rosalie the Witch a friendly nod of farewell.
skyisland_18_baum_64kb_f000020|Then she sprang lightly upon the arch of the Rainbow and was greeted by the bevy of dancing, laughing maidens who were her sisters.|Then she sprang lightly upon the arch of the Rainbow and was greeted by the bevy of dancing, laughing maidens who were her sisters.
skyisland_18_baum_64kb_f000021|I shall keep watch over you, Button-Bright, she called to the boy. Don't despair, whatever happens, for behind the clouds is always the Rainbow!|I shall keep watch over you, Button-Bright, she called to the boy. Don't despair, whatever happens, for behind the clouds is always the Rainbow!
skyisland_18_baum_64kb_f000022|Thank you, Polly, he answered, and Trot also thanked the lovely Polychrome, and so did captain Bill.|Thank you, Polly, he answered, and Trot also thanked the lovely Polychrome, and so did captain Bill.
skyisland_18_baum_64kb_f000023|The parrot made quite a long speech, flying high above the arch where Polychrome stood and then back to captain Bill's shoulder.|The parrot made quite a long speech, flying high above the arch where Polychrome stood and then back to captain Bill's shoulder.
skyisland_18_baum_64kb_f000024|Said he, We Pollys know our business, and we're all right!|Said he, We Pollys know our business, and we're all right!
skyisland_18_baum_64kb_f000025|We'll take good care of captain Bill and Trot and Button-Bright.|We'll take good care of captain Bill and Trot and Button-Bright.
skyisland_18_baum_64kb_f000026|You watch 'em from the Rainbow, and I'll watch day and night, And we'll call a sky policeman if trouble comes in sight! Suddenly, the bow lifted and carried the dancing maidens into the sky.|You watch 'em from the Rainbow, and I'll watch day and night, And we'll call a sky policeman if trouble comes in sight! Suddenly, the bow lifted and carried the dancing maidens into the sky.
skyisland_18_baum_64kb_f000027|The colors faded, the arch slowly dissolved and the heavens were clear.|The colors faded, the arch slowly dissolved and the heavens were clear.
skyisland_18_baum_64kb_f000028|Trot turned to the Pinkies. Let's have a holiday today, she said.|Trot turned to the Pinkies. Let's have a holiday today, she said.
skyisland_18_baum_64kb_f000029|Have a good time and enjoy yourselves. I don't jus' know how I'm goin' to rule this country yet, but I'll think it over and let you know.|Have a good time and enjoy yourselves. I don't jus' know how I'm goin' to rule this country yet, but I'll think it over and let you know.
skyisland_18_baum_64kb_f000030|Then she went into the palace hut with captain Bill and Button-Bright and Rosalie the Witch, and the people went away to enjoy themselves and talk over the surprising events of the day.|Then she went into the palace hut with captain Bill and Button-Bright and Rosalie the Witch, and the people went away to enjoy themselves and talk over the surprising events of the day.
skyisland_18_baum_64kb_f000031|Dear me, said Trot, throwing herself into a chair, wasn't that a sudden change of fortune, though? That Rainbow's Daughter is a pretty good fairy.|Dear me, said Trot, throwing herself into a chair, wasn't that a sudden change of fortune, though? That Rainbow's Daughter is a pretty good fairy.
skyisland_18_baum_64kb_f000032|I'm glad you know her, Button-Bright. I was sure something would happen to save you, remarked Rosalie, and that was why I voted to have you thrown off the edge.|I'm glad you know her, Button-Bright. I was sure something would happen to save you, remarked Rosalie, and that was why I voted to have you thrown off the edge.
skyisland_18_baum_64kb_f000033|I wanted to discover who would come to your assistance, and I found out. Now I have made a friend of Polychrome, and that will render me more powerful as a Witch,|I wanted to discover who would come to your assistance, and I found out. Now I have made a friend of Polychrome, and that will render me more powerful as a Witch,
skyisland_18_baum_64kb_f000034|for I can call upon her for assistance whenever I need her.|for I can call upon her for assistance whenever I need her.
skyisland_18_baum_64kb_f000035|But see here, said captain Bill. You can't afford to spend your time a-rulin' this tucked-up country, Trot. Why not? asked Trot, who was pleased with her new and important position.|But see here, said captain Bill. You can't afford to spend your time a-rulin' this tucked-up country, Trot. Why not? asked Trot, who was pleased with her new and important position.
skyisland_18_baum_64kb_f000036|It'd get pretty tiresome, mate, after you'd had a few quarrels with the Pinkies, for they expec' their Queen to be as poor as poverty an' never have any fun in life.|It'd get pretty tiresome, mate, after you'd had a few quarrels with the Pinkies, for they expec' their Queen to be as poor as poverty an' never have any fun in life.
skyisland_18_baum_64kb_f000037|You wouldn't like it for long, I'm sure, added Button-Bright seriously.|You wouldn't like it for long, I'm sure, added Button-Bright seriously.
skyisland_18_baum_64kb_f000038|Trot seemed thoughtful. No, I don't know's I would, she admitted.|Trot seemed thoughtful. No, I don't know's I would, she admitted.
skyisland_18_baum_64kb_f000039|But as long as we stay here, it seems a pretty good thing to be Queen.|But as long as we stay here, it seems a pretty good thing to be Queen.
skyisland_18_baum_64kb_f000040|I guess I'm a little proud of it. I wish mother could see me rulin' the Pinkies, and Papa Griffith, too. Wouldn't they open their eyes? They would,|I guess I'm a little proud of it. I wish mother could see me rulin' the Pinkies, and Papa Griffith, too. Wouldn't they open their eyes? They would,
skyisland_18_baum_64kb_f000041|mate, but they can't see you, said captain Bill.|mate, but they can't see you, said captain Bill.
skyisland_18_baum_64kb_f000042|So the question is, what's to be done? We ought to get home, observed the boy. Our folks will worry about us, and Earth's the best place to live, after all.|So the question is, what's to be done? We ought to get home, observed the boy. Our folks will worry about us, and Earth's the best place to live, after all.
skyisland_18_baum_64kb_f000043|If we could only get hold of my Magic Umbrella, we'd be all right. The rose is red, the violet's blue, But the umbrel's stolen by the Boolooroo! screamed the parrot.|If we could only get hold of my Magic Umbrella, we'd be all right. The rose is red, the violet's blue, But the umbrel's stolen by the Boolooroo! screamed the parrot.
skyisland_18_baum_64kb_f000044|That's it, said captain Bill. The Boolooroo's got the umbrel, and that settles the question. Tell me, said Rosalie, If you had your Magic Umbrella,|That's it, said captain Bill. The Boolooroo's got the umbrel, and that settles the question. Tell me, said Rosalie, If you had your Magic Umbrella,
skyisland_18_baum_64kb_f000045|could you fly home again in safety?|could you fly home again in safety?
skyisland_18_baum_64kb_f000046|Of course we could, replied Button-Bright.|Of course we could, replied Button-Bright.
skyisland_18_baum_64kb_f000047|And would you prefer to go home to remaining here? We would indeed! Then why do you not get the umbrella? How? asked Trot eagerly.|And would you prefer to go home to remaining here? We would indeed! Then why do you not get the umbrella? How? asked Trot eagerly.
skyisland_18_baum_64kb_f000048|You must go into the Blue Country and force the Boolooroo to give up your property. Through the Fog Bank? asked captain Bill doubtfully.|You must go into the Blue Country and force the Boolooroo to give up your property. Through the Fog Bank? asked captain Bill doubtfully.
skyisland_18_baum_64kb_f000049|And let the Boolooroo capture us again? demanded Button-Bright with a shiver.|And let the Boolooroo capture us again? demanded Button-Bright with a shiver.
skyisland_18_baum_64kb_f000050|and have to wait on the Snubnoses instead of bein' a Queen? said Trot.|and have to wait on the Snubnoses instead of bein' a Queen? said Trot.
skyisland_18_baum_64kb_f000051|You must remember that conditions have changed, and you are now a powerful Ruler, replied Rosalie. The Pinkies are really a great nation, and they are pledged to obey your commands.|You must remember that conditions have changed, and you are now a powerful Ruler, replied Rosalie. The Pinkies are really a great nation, and they are pledged to obey your commands.
skyisland_18_baum_64kb_f000052|Why not assemble an army, march through the Fog Bank, fight and conquer the Boolooroo and recapture the Magic Umbrella? Hooray! shouted captain Bill,|Why not assemble an army, march through the Fog Bank, fight and conquer the Boolooroo and recapture the Magic Umbrella? Hooray! shouted captain Bill,
skyisland_18_baum_64kb_f000053|pounding his wooden leg on the floor.|pounding his wooden leg on the floor.
skyisland_18_baum_64kb_f000054|That's the proper talk! Let's do it, Queen Trot. It doesn't seem like a bad idea, added Button-Bright.|That's the proper talk! Let's do it, Queen Trot. It doesn't seem like a bad idea, added Button-Bright.
skyisland_18_baum_64kb_f000055|Do you think the Pinkies would fight the Blueskins? asked Trot.|Do you think the Pinkies would fight the Blueskins? asked Trot.
skyisland_18_baum_64kb_f000056|Why not? replied the sailorman. They have sharp sticks and know how to use 'em, whereas the Blueskins have only them windin'-up cords with weights on the ends.|Why not? replied the sailorman. They have sharp sticks and know how to use 'em, whereas the Blueskins have only them windin'-up cords with weights on the ends.
skyisland_18_baum_64kb_f000057|The Blueskins are the biggest people, said the girl.|The Blueskins are the biggest people, said the girl.
skyisland_18_baum_64kb_f000058|But they're cowards, I'm sure, declared the boy.|But they're cowards, I'm sure, declared the boy.
skyisland_18_baum_64kb_f000059|Anyhow, the sailor remarked, that's our only hope of ever gett'n' home again. I'd like to try it, Trot. If you decide on this adventure, said Rosalie,|Anyhow, the sailor remarked, that's our only hope of ever gett'n' home again. I'd like to try it, Trot. If you decide on this adventure, said Rosalie,
skyisland_18_baum_64kb_f000060|I believe I can be of much assistance to you.|I believe I can be of much assistance to you.
skyisland_18_baum_64kb_f000061|That'll help, asserted captain Bill.|That'll help, asserted captain Bill.
skyisland_18_baum_64kb_f000062|And we've one good friend among the Blueskins, said Button-Bright.|And we've one good friend among the Blueskins, said Button-Bright.
skyisland_18_baum_64kb_f000063|I'm sure Ghip-Ghisizzle will side with us, and I've got the Royal Record Book, which proves that the Boolooroo has already reigned his lawful three hundred years.|I'm sure Ghip-Ghisizzle will side with us, and I've got the Royal Record Book, which proves that the Boolooroo has already reigned his lawful three hundred years.
skyisland_18_baum_64kb_f000064|Does the book say that? inquired Trot with interest.|Does the book say that? inquired Trot with interest.
skyisland_18_baum_64kb_f000065|Yes, I've been reading it. Then Sizzle'll be the new Boolooroo, said the girl, and p'raps we won't have to fight, after all.|Yes, I've been reading it. Then Sizzle'll be the new Boolooroo, said the girl, and p'raps we won't have to fight, after all.
skyisland_18_baum_64kb_f000066|We'd better go prepared, though, advised captain Bill, fer that awful ol' Boolooroo won't give up without a struggle. When shall we start? Trot hesitated,|We'd better go prepared, though, advised captain Bill, fer that awful ol' Boolooroo won't give up without a struggle. When shall we start? Trot hesitated,
