hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_09_f000063|Let us pick one, you and I. We can glide out of here at any time. And we can make that world over as we please. We might even eat of the fruit of life and become as gods As though it came from the dark corridor of the years,|Let us pick one, you and I. We can glide out of here at any time. And we can make that world over as we please. We might even eat of the fruit of life and become as gods As though it came from the dark corridor of the years,
hunters_space_09_f000064|Jack Odin seemed to hear the resounding echo of slow footsteps, and a deep voice that thundered: For I, thy God, am a jealous God She had almost hypnotized him with her weary, earnest voice.|Jack Odin seemed to hear the resounding echo of slow footsteps, and a deep voice that thundered: For I, thy God, am a jealous God She had almost hypnotized him with her weary, earnest voice.
hunters_space_09_f000065|For a moment, it had seemed that all this frantic quest was nothing. That it would be far, far better to find a home with Nea and build a world of his own than to go on searching the stars.|For a moment, it had seemed that all this frantic quest was nothing. That it would be far, far better to find a home with Nea and build a world of his own than to go on searching the stars.
hunters_space_09_f000066|Then he answered slowly, trying to measure his words, for he did not want to hurt her feelings. No, Nea. If I go wandering forever, it will be no worse than my fathers did before me.|Then he answered slowly, trying to measure his words, for he did not want to hurt her feelings. No, Nea. If I go wandering forever, it will be no worse than my fathers did before me.
hunters_space_09_f000067|For a man is vagrant and restless.|For a man is vagrant and restless.
hunters_space_09_f000068|What he gets, he loses. And if he is lucky, he can hold fast to his dreams.|What he gets, he loses. And if he is lucky, he can hold fast to his dreams.
hunters_space_09_f000069|For a moment dark anger blazed in her eyes. Then they were calm and sad again. She got to her feet, as though she were very tired.|For a moment dark anger blazed in her eyes. Then they were calm and sad again. She got to her feet, as though she were very tired.
hunters_space_09_f000070|She smiled. If I followed all the books, I would make a scene now. I have offered myself and a world to you and have been refused. But I wish you and your dreams well, Jack Odin.|She smiled. If I followed all the books, I would make a scene now. I have offered myself and a world to you and have been refused. But I wish you and your dreams well, Jack Odin.
hunters_space_09_f000071|She bent over him, and her lips brushed his. Faintly, like the touch of a rose petal, and the perfume of her hair seemed to fill the room.|She bent over him, and her lips brushed his. Faintly, like the touch of a rose petal, and the perfume of her hair seemed to fill the room.
hunters_space_09_f000072|Then she was gone.|Then she was gone.
hunters_space_09_f000073|Jack Odin sat there, looking long and long at the swarm of stars upon the screen, thinking of the unseen worlds about them the worlds that he had just renounced.|Jack Odin sat there, looking long and long at the swarm of stars upon the screen, thinking of the unseen worlds about them the worlds that he had just renounced.
hunters_space_09_f000074|Until finally he got up and went to bed.|Until finally he got up and went to bed.
hunters_space_09_f000075|End of chapter 9.|End of chapter nine.
hunters_space_10_f000001|Chapter 10 of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.|Chapter ten of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.
hunters_space_10_f000002|Chapter 10.|Chapter ten.
hunters_space_10_f000003|Ato's probing instruments still pointed the way to Aldebaran. In a surprisingly short time, the warning signals were flashing and jingling throughout The Nebula.|Ato's probing instruments still pointed the way to Aldebaran. In a surprisingly short time, the warning signals were flashing and jingling throughout The Nebula.
hunters_space_10_f000004|There was that same sick feeling as it moved slower than the speed of light.|There was that same sick feeling as it moved slower than the speed of light.
hunters_space_10_f000005|And there was a glowing sun with nine planets circling stately about it.|And there was a glowing sun with nine planets circling stately about it.
hunters_space_10_f000006|Slower The Nebula moved, and slower, until the outermost planet sparkled in the light of its sun below them. They swooped down.|Slower The Nebula moved, and slower, until the outermost planet sparkled in the light of its sun below them. They swooped down.
hunters_space_10_f000007|Not a single blast was fired at them. Every man was at his post, while Ato guided them in, and Odin worked the screens.|Not a single blast was fired at them. Every man was at his post, while Ato guided them in, and Odin worked the screens.
hunters_space_10_f000008|Once more, Jack was disappointed. He had looked forward to some alien even exotic civilization. Here were fields and streams.|Once more, Jack was disappointed. He had looked forward to some alien even exotic civilization. Here were fields and streams.
hunters_space_10_f000009|And there were cities looking very much like the cities of his world and of Opal.|And there were cities looking very much like the cities of his world and of Opal.
hunters_space_10_f000010|Those other worlds which he had seen had been blasted. So there was no way of knowing how their cities had looked. But these were too recognizable.|Those other worlds which he had seen had been blasted. So there was no way of knowing how their cities had looked. But these were too recognizable.
hunters_space_10_f000011|He was certain that he had seen several of the taller buildings before.|He was certain that he had seen several of the taller buildings before.
hunters_space_10_f000012|Was space no more creative than this? Had the worlds dedicated themselves to the same monotonous pattern? He had caught a glimpse of conventional, rocket-shaped spaceships, plying their courses back and forth among the planets.|Was space no more creative than this? Had the worlds dedicated themselves to the same monotonous pattern? He had caught a glimpse of conventional, rocket-shaped spaceships, plying their courses back and forth among the planets.
hunters_space_10_f000013|He saw boats and cars and a few long-nosed airplanes, with the merest trace of vestigial wings far back near the empennage, streaking through the sky in high arcs, leaving curling trails of fog and smoke behind them.|He saw boats and cars and a few long-nosed airplanes, with the merest trace of vestigial wings far back near the empennage, streaking through the sky in high arcs, leaving curling trails of fog and smoke behind them.
hunters_space_10_f000014|But there was little here that his world had not already mastered or at least had on the drawing board.|But there was little here that his world had not already mastered or at least had on the drawing board.
hunters_space_10_f000015|The Nebula came to rest upon a bare plain not far from the nearest city. As he turned to the scanner upon it, Odin saw that while it looked familiar enough there was one exotic thing about it.|The Nebula came to rest upon a bare plain not far from the nearest city. As he turned to the scanner upon it, Odin saw that while it looked familiar enough there was one exotic thing about it.
hunters_space_10_f000016|Toward the outskirts of the city, in the bend of a wide river, was the Taj Mahal.|Toward the outskirts of the city, in the bend of a wide river, was the Taj Mahal.
hunters_space_10_f000017|He felt nearly as bewildered as he had been when Nea explained her theories of the Time-Space Concept to him.|He felt nearly as bewildered as he had been when Nea explained her theories of the Time-Space Concept to him.
hunters_space_10_f000018|They had hardly landed before one of Ato's scientists announced that there was good clean air outside. Oxygen and nitrogen with good old water held as moisture within it.|They had hardly landed before one of Ato's scientists announced that there was good clean air outside. Oxygen and nitrogen with good old water held as moisture within it.
hunters_space_10_f000019|The city sat there upon the plain and stared at them. The Nebula looked back.|The city sat there upon the plain and stared at them. The Nebula looked back.
hunters_space_10_f000020|At length a procession of cars moved toward them.|At length a procession of cars moved toward them.
hunters_space_10_f000021|Grim Hagen's voice came thundering over the loud-speakers.|Grim Hagen's voice came thundering over the loud-speakers.
hunters_space_10_f000022|A truce, Ato. I offer you a week's truce in return for a few meetings.|A truce, Ato. I offer you a week's truce in return for a few meetings.
hunters_space_10_f000023|This world has seen enough destruction Gunnar and his crew leveled their death-gun at the advancing party. Odin kept them on the screen.|This world has seen enough destruction Gunnar and his crew leveled their death-gun at the advancing party. Odin kept them on the screen.
hunters_space_10_f000024|Ato and a few of his captains got ready to disembark.|Ato and a few of his captains got ready to disembark.
hunters_space_10_f000025|As Odin watched, he kept puzzling over that voice. It certainly was Grim Hagen's. But it was different. Perhaps it was a bit lower, a bit more commanding.|As Odin watched, he kept puzzling over that voice. It certainly was Grim Hagen's. But it was different. Perhaps it was a bit lower, a bit more commanding.
hunters_space_10_f000026|But there was just a bit of weariness in it. And the answer came to him suddenly although he never knew why.|But there was just a bit of weariness in it. And the answer came to him suddenly although he never knew why.
hunters_space_10_f000027|The voice was older!|The voice was older!
hunters_space_10_f000028|Then Grim Hagen and his staff were below The Nebula. They were dressed in white and gold uniforms. That was not surprising, either.|Then Grim Hagen and his staff were below The Nebula. They were dressed in white and gold uniforms. That was not surprising, either.
hunters_space_10_f000029|Ato and his men advanced for a parley. Odin watched and listened.|Ato and his men advanced for a parley. Odin watched and listened.
hunters_space_10_f000030|At first he could not get a clear look at the man for Ato's broad shoulders. Then Ato turned aside, and Grim Hagen's head and shoulders filled the screen.|At first he could not get a clear look at the man for Ato's broad shoulders. Then Ato turned aside, and Grim Hagen's head and shoulders filled the screen.
hunters_space_10_f000031|Odin gasped in amazement. Grim Hagen was nearly twenty years older than when he had seen him last.|Odin gasped in amazement. Grim Hagen was nearly twenty years older than when he had seen him last.
hunters_space_10_f000032|The shoulders and arms were larger although there appeared to be little fat upon Grim Hagen. The dark hair was streaked with gray.|The shoulders and arms were larger although there appeared to be little fat upon Grim Hagen. The dark hair was streaked with gray.
hunters_space_10_f000033|The face was seamed, and though the black eyes still blazed they now burned with a fanatic hate and desperation. Where pride and ambition had once made a face coldly handsome, there was now nothing but seamed lines like scars and blazing eyes.|The face was seamed, and though the black eyes still blazed they now burned with a fanatic hate and desperation. Where pride and ambition had once made a face coldly handsome, there was now nothing but seamed lines like scars and blazing eyes.
hunters_space_10_f000034|It was an evil face. Grim Hagen had become a devil.|It was an evil face. Grim Hagen had become a devil.
hunters_space_10_f000035|Hagen looked at the much younger Ato and laughed. So, the cub comes to fight with the tiger? Didn't you know? Didn't you guess? While you came galloping after me, I had already landed within this system.|Hagen looked at the much younger Ato and laughed. So, the cub comes to fight with the tiger? Didn't you know? Didn't you guess? While you came galloping after me, I had already landed within this system.
hunters_space_10_f000036|And time began its old alnage. These were a peaceful people. We wrecked them. We enslaved them and built the nine worlds in our own fashion.|And time began its old alnage. These were a peaceful people. We wrecked them. We enslaved them and built the nine worlds in our own fashion.
hunters_space_10_f000037|Nearly nineteen years, Ato! No Caesar ever dreamed of a larger kingdom. I even gave them a new goddess for I did not want them to do much thinking.|Nearly nineteen years, Ato! No Caesar ever dreamed of a larger kingdom. I even gave them a new goddess for I did not want them to do much thinking.
hunters_space_10_f000038|Yonder. He pointed to the duplicate Taj Mahal in the distance. She sleeps. My only failure.|Yonder. He pointed to the duplicate Taj Mahal in the distance. She sleeps. My only failure.
hunters_space_10_f000039|No older. And sometimes I go there and look at her, and my youth seems to walk beside me We want the people that you brought with you, Grim Hagen,|No older. And sometimes I go there and look at her, and my youth seems to walk beside me We want the people that you brought with you, Grim Hagen,
hunters_space_10_f000040|Ato answered coldly. And the treasures.|Ato answered coldly. And the treasures.
hunters_space_10_f000041|Grim Hagen laughed again. Those that came with me willingly are dukes and kings beyond their wildest dreams. Those who would not take oath to serve me are still slaves.|Grim Hagen laughed again. Those that came with me willingly are dukes and kings beyond their wildest dreams. Those who would not take oath to serve me are still slaves.
hunters_space_10_f000042|Except for Maya, who sleeps. As for the treasures, my treasure houses are so full now that I doubt if I could separate one thing from the other.|Except for Maya, who sleeps. As for the treasures, my treasure houses are so full now that I doubt if I could separate one thing from the other.
hunters_space_10_f000043|So youth grows old. But you must admit that this is better than cringing in a hole in the ground None of us cringed, unless it was you, Ato retorted angrily.|So youth grows old. But you must admit that this is better than cringing in a hole in the ground None of us cringed, unless it was you, Ato retorted angrily.
hunters_space_10_f000044|We have come beyond time and space for Maya and her friends for the treasures and for you The mad light flamed in Grim Hagen's eyes as he laughed again.|We have come beyond time and space for Maya and her friends for the treasures and for you The mad light flamed in Grim Hagen's eyes as he laughed again.
hunters_space_10_f000045|You could not get a thousand feet into the air unless I permitted it. Come, now, I have given a week's truce. Relax and enjoy yourselves.|You could not get a thousand feet into the air unless I permitted it. Come, now, I have given a week's truce. Relax and enjoy yourselves.
hunters_space_10_f000046|After all, we are kinsmen in a far country. He rubbed his chin thoughtfully and repeated.|After all, we are kinsmen in a far country. He rubbed his chin thoughtfully and repeated.
hunters_space_10_f000047|A far country.|A far country.
hunters_space_10_f000048|Three days had passed since they had landed on Grim Hagen's planet. Ato, Gunnar, Odin, and a score of others had gone into the city where they had been given quarters in a palace that made Windsor look like a second-class lodging.|Three days had passed since they had landed on Grim Hagen's planet. Ato, Gunnar, Odin, and a score of others had gone into the city where they had been given quarters in a palace that made Windsor look like a second-class lodging.
hunters_space_10_f000049|Odin and Gunnar shared a suite. As he dressed that morning, Odin looked about him at the splendor. Every bit of woodwork was hand-carved.|Odin and Gunnar shared a suite. As he dressed that morning, Odin looked about him at the splendor. Every bit of woodwork was hand-carved.
hunters_space_10_f000050|The walls were covered with frescoes. The chandeliers were jeweled masterpieces and the carpets were thick crimson piles.|The walls were covered with frescoes. The chandeliers were jeweled masterpieces and the carpets were thick crimson piles.
hunters_space_10_f000051|The lace curtains must have ruined the eyes and hands of a dozen women.|The lace curtains must have ruined the eyes and hands of a dozen women.
hunters_space_10_f000052|He had heard that the planets of Aldebaran had been peopled by a blond peaceful race who were on a par with the culture of the Middle Ages when Grim Hagen arrived.|He had heard that the planets of Aldebaran had been peopled by a blond peaceful race who were on a par with the culture of the Middle Ages when Grim Hagen arrived.
hunters_space_10_f000053|Lord, how he must have worked himself and them to bring them this far along in nineteen years. There was a peaceful air of prosperity about the planet; and trade, he understood, was flourishing with the other worlds of the system.|Lord, how he must have worked himself and them to bring them this far along in nineteen years. There was a peaceful air of prosperity about the planet; and trade, he understood, was flourishing with the other worlds of the system.
hunters_space_10_f000054|But the people were no more than slaves beaten and cowed into submission. Oh, they worked hard. But Odin wondered what had been their punishment in years past for not working.|But the people were no more than slaves beaten and cowed into submission. Oh, they worked hard. But Odin wondered what had been their punishment in years past for not working.
hunters_space_10_f000055|There was something in their eyes a stunned, unhappy look that made him wonder what would happen some day when they learned as much as their masters and turned upon them.|There was something in their eyes a stunned, unhappy look that made him wonder what would happen some day when they learned as much as their masters and turned upon them.
hunters_space_10_f000056|Moreover, he had been told that the planets were over-crowded when Grim Hagen arrived. They did not seem so now. How many graves throughout those nine planets were dedicated to the conquerors?|Moreover, he had been told that the planets were over-crowded when Grim Hagen arrived. They did not seem so now. How many graves throughout those nine planets were dedicated to the conquerors?
hunters_space_10_f000057|Only once had he seen one of them mistreated. That was at a dinner the night before. The banquet hall had been a combination of medieval, modern, and Brons' splendor.|Only once had he seen one of them mistreated. That was at a dinner the night before. The banquet hall had been a combination of medieval, modern, and Brons' splendor.
hunters_space_10_f000058|The dishes, the food, and the music had been superb.|The dishes, the food, and the music had been superb.
hunters_space_10_f000059|But a fair-skinned girl had spilled a few drops of wine when she was serving Grim Hagen. His face had grown dark. Half arising from his high-backed chair at the head of the table, he had doubled up his fist and struck her below the cheek-bone.|But a fair-skinned girl had spilled a few drops of wine when she was serving Grim Hagen. His face had grown dark. Half arising from his high-backed chair at the head of the table, he had doubled up his fist and struck her below the cheek-bone.
hunters_space_10_f000060|She reeled back, her face crimsoning from the blow and the shame. The other servants pretended to see nothing.|She reeled back, her face crimsoning from the blow and the shame. The other servants pretended to see nothing.
hunters_space_10_f000061|But in the girl's eyes and in the eyes of the others he saw the old promise that had been written in the eyes of slaves since time began: Some Day! Some Day!|But in the girl's eyes and in the eyes of the others he saw the old promise that had been written in the eyes of slaves since time began: Some Day! Some Day!
hunters_space_10_f000062|Then, with perfect calm, Grim Hagen had sat down, wiping his lips with a lacy napkin. Pardon me, gentlemen, but they have so much to learn in so short a time.|Then, with perfect calm, Grim Hagen had sat down, wiping his lips with a lacy napkin. Pardon me, gentlemen, but they have so much to learn in so short a time.
hunters_space_10_f000063|Then he looked down the long table at Odin and could not resist one gibe. You don't know how happy I was to find that these planets were peopled by a light-skinned race.|Then he looked down the long table at Odin and could not resist one gibe. You don't know how happy I was to find that these planets were peopled by a light-skinned race.
hunters_space_10_f000064|That was all. True to his promise, Grim Hagen had given them the run of the city. But there was always one of Hagen's men or some native in uniform to politely assure them that there was little to see down the off streets.|That was all. True to his promise, Grim Hagen had given them the run of the city. But there was always one of Hagen's men or some native in uniform to politely assure them that there was little to see down the off streets.
hunters_space_10_f000065|The main squares were a tourist's paradise. Beautiful buildings in all colors and styles, black marble and silver. Tracings of gold.|The main squares were a tourist's paradise. Beautiful buildings in all colors and styles, black marble and silver. Tracings of gold.
hunters_space_10_f000066|Clocks, bells, statues, fountains. All the architecture of the world they had left, with fine selections and matching, with daring improvisations.|Clocks, bells, statues, fountains. All the architecture of the world they had left, with fine selections and matching, with daring improvisations.
hunters_space_10_f000067|And everything new. Odin had to admit that the squares were beautiful. Some day this conquered race might even owe a debt to Grim Hagen and his crew.|And everything new. Odin had to admit that the squares were beautiful. Some day this conquered race might even owe a debt to Grim Hagen and his crew.
hunters_space_10_f000068|But right now they did not seem to be bubbling over. The natives were polite too meek for comfort. Some of the women were beautiful; most of the men were too slight of build, almost effeminate.|But right now they did not seem to be bubbling over. The natives were polite too meek for comfort. Some of the women were beautiful; most of the men were too slight of build, almost effeminate.
hunters_space_10_f000069|But once Jack Odin and Gunnar managed to stroll down a narrow street without anyone noticing them. It was the cry of the birds that caused them to turn aside into even a narrower one.|But once Jack Odin and Gunnar managed to stroll down a narrow street without anyone noticing them. It was the cry of the birds that caused them to turn aside into even a narrower one.
hunters_space_10_f000070|So they came to a little run-down park that looked old enough to have survived the conquest. Then they saw the scaffoldings.|So they came to a little run-down park that looked old enough to have survived the conquest. Then they saw the scaffoldings.
hunters_space_10_f000071|And there were twelve shapes hanging from ropes and meat-hooks. As they neared, a flock of fat revolting-looking birds arose and complained as they fluttered away.|And there were twelve shapes hanging from ropes and meat-hooks. As they neared, a flock of fat revolting-looking birds arose and complained as they fluttered away.
hunters_space_10_f000072|Gunnar and Odin had stood there looking up at the half-dried mummies that swung slowly about and grimaced at the tiny wind that perplexed them.|Gunnar and Odin had stood there looking up at the half-dried mummies that swung slowly about and grimaced at the tiny wind that perplexed them.
hunters_space_10_f000073|The gibbets were spotted with blood and filth. Flies swarmed about them.|The gibbets were spotted with blood and filth. Flies swarmed about them.
hunters_space_10_f000074|So, Gunnar remarked. The leopard does not change his spots. Grim Hagen still gives lessons to these people. And knowing Grim Hagen I would say he is a rough schoolmaster.|So, Gunnar remarked. The leopard does not change his spots. Grim Hagen still gives lessons to these people. And knowing Grim Hagen I would say he is a rough schoolmaster.
hunters_space_10_f000075|They did not stay long. And a guard opened his mouth in surprise when he saw them entering the square from the dark, little street.|They did not stay long. And a guard opened his mouth in surprise when he saw them entering the square from the dark, little street.
hunters_space_10_f000076|Today Grim Hagen had invited them to another conference. Gunnar and Odin dressed carefully. But Gunnar took a last look at harness and sword as he complained: He wants something.|Today Grim Hagen had invited them to another conference. Gunnar and Odin dressed carefully. But Gunnar took a last look at harness and sword as he complained: He wants something.
hunters_space_10_f000077|And Grim Hagen can be mean when he doesn't get what he wants. We should have started wrecking this world before we landed.|And Grim Hagen can be mean when he doesn't get what he wants. We should have started wrecking this world before we landed.
hunters_space_10_f000078|The people would be no worse off. And maybe we could have rid ourselves of a snake. Ato needs a big drink of tiger milk Oh, quit complaining, little giant.|The people would be no worse off. And maybe we could have rid ourselves of a snake. Ato needs a big drink of tiger milk Oh, quit complaining, little giant.
hunters_space_10_f000079|We still have some bargaining power.|We still have some bargaining power.
hunters_space_10_f000080|Yes, our swords. This meeting reminds me of the conference that a king once held to decide upon another conference which would decide what the next conference would be about. Bah!|Yes, our swords. This meeting reminds me of the conference that a king once held to decide upon another conference which would decide what the next conference would be about. Bah!
hunters_space_10_f000081|Quit worrying. One of us will kill Grim Hagen, sooner or later.|Quit worrying. One of us will kill Grim Hagen, sooner or later.
hunters_space_10_f000082|But Gunnar went on with his complaining. You had better stay close to me, you understand, or you will be hanging from one of Grim Hagen's meat-hooks.|But Gunnar went on with his complaining. You had better stay close to me, you understand, or you will be hanging from one of Grim Hagen's meat-hooks.
hunters_space_10_f000083|So they went to the conference. All of Ato's men and at least fifty of Grim Hagen's were there. Contrary to Gunnar's prediction, Grim Hagen got to the point at once.|So they went to the conference. All of Ato's men and at least fifty of Grim Hagen's were there. Contrary to Gunnar's prediction, Grim Hagen got to the point at once.
hunters_space_10_f000084|Kinsmen, he began mockingly. You may have wondered why I called a truce when I could just as well have destroyed you That I doubt, Ato answered him.|Kinsmen, he began mockingly. You may have wondered why I called a truce when I could just as well have destroyed you That I doubt, Ato answered him.
hunters_space_10_f000085|We have defensive weapons. Even now the guns from our ship are trained upon the city.|We have defensive weapons. Even now the guns from our ship are trained upon the city.
hunters_space_10_f000086|Grim Hagen shrugged. Let us not quibble, Ato. Your father was a quibbler before you.|Grim Hagen shrugged. Let us not quibble, Ato. Your father was a quibbler before you.
hunters_space_10_f000087|Ato flushed in anger.|Ato flushed in anger.
hunters_space_10_f000088|Grim Hagen continued with an apologetic smile. I'm only joking. But I do know certain things. Your father, Wolden, is a brilliant man, Ato.|Grim Hagen continued with an apologetic smile. I'm only joking. But I do know certain things. Your father, Wolden, is a brilliant man, Ato.
hunters_space_10_f000089|He bowed slightly as he admitted this. From time to time, as you hurtled through the star spaces, I picked up scraps of conversation with my instruments.|He bowed slightly as he admitted this. From time to time, as you hurtled through the star spaces, I picked up scraps of conversation with my instruments.
hunters_space_10_f000090|Also, I knew something of what Wolden has been working on all these years.|Also, I knew something of what Wolden has been working on all these years.
hunters_space_10_f000091|Now, you're quibbling, Gunnar jeered. Get on with your speech, Grim Hagen.|Now, you're quibbling, Gunnar jeered. Get on with your speech, Grim Hagen.
hunters_space_10_f000092|Grim Hagen bowed to the broad-shouldered little man. Some day, Gunnar, I may have to kill you Now. Now. Gunnar urged, fairly jumping in rage.|Grim Hagen bowed to the broad-shouldered little man. Some day, Gunnar, I may have to kill you Now. Now. Gunnar urged, fairly jumping in rage.
hunters_space_10_f000093|Just the two of us, Grim Hagen. Just the two of us with bare hands Not yet. Grim Hagen sneered. Now, I will continue. From what I have learned, it appears that Wolden's work has been a success.|Just the two of us, Grim Hagen. Just the two of us with bare hands Not yet. Grim Hagen sneered. Now, I will continue. From what I have learned, it appears that Wolden's work has been a success.
hunters_space_10_f000094|It is possible for men to master both time and space. I have mastered space, but time is turning everything to dust and ashes. What good is it to be an old emperor?|It is possible for men to master both time and space. I have mastered space, but time is turning everything to dust and ashes. What good is it to be an old emperor?
hunters_space_10_f000095|No better than to be an old herdsman. Again he tossed a sneer in Gunnar's direction That's easy, Gunnar retorted. The old herdsman sleeps well at night.|No better than to be an old herdsman. Again he tossed a sneer in Gunnar's direction That's easy, Gunnar retorted. The old herdsman sleeps well at night.
hunters_space_10_f000096|Bah. Who wants to sleep? Please quit interrupting, Gunnar.|Bah. Who wants to sleep? Please quit interrupting, Gunnar.
hunters_space_10_f000097|Even before we came to Aldebaran, Hagen went on, I was in contact with a dying world out there at the edge of space. Those people are desperate.|Even before we came to Aldebaran, Hagen went on, I was in contact with a dying world out there at the edge of space. Those people are desperate.
hunters_space_10_f000098|And they are weary of life, having seen too much of it. They have agreed to go with me. Why, this sun and these worlds are piddling trifles.|And they are weary of life, having seen too much of it. They have agreed to go with me. Why, this sun and these worlds are piddling trifles.
hunters_space_10_f000099|With that invention we could go from sun to sun. Space would be ours to play with Loki, the Mischief-Maker, running through creation Gunnar muttered.|With that invention we could go from sun to sun. Space would be ours to play with Loki, the Mischief-Maker, running through creation Gunnar muttered.
hunters_space_10_f000100|Grim Hagen may not have heard him for he continued in that same desperate, pleading voice. So here is my proposition, Ato.|Grim Hagen may not have heard him for he continued in that same desperate, pleading voice. So here is my proposition, Ato.
hunters_space_10_f000101|Give me your father's secret. In return, I give you the treasures, the Old Ship, the prisoners, and even Maya. Is not that complete surrender? He smiled disarmingly.|Give me your father's secret. In return, I give you the treasures, the Old Ship, the prisoners, and even Maya. Is not that complete surrender? He smiled disarmingly.
hunters_space_10_f000102|Ato stood tall and proud as he answered. His eyes were blazing now, as he saw through Grim Hagen's plan. So, you thought I would bargain away Wolden's secret, did you? Well, your surmises were wrong.|Ato stood tall and proud as he answered. His eyes were blazing now, as he saw through Grim Hagen's plan. So, you thought I would bargain away Wolden's secret, did you? Well, your surmises were wrong.
hunters_space_10_f000103|When last I saw him his work was not finished. I know so little about it that I could tell you nothing of any value. But if I did, Ato's voice was trembling in disgust.|When last I saw him his work was not finished. I know so little about it that I could tell you nothing of any value. But if I did, Ato's voice was trembling in disgust.
hunters_space_10_f000104|If I did, Hagen, would I turn you and your hells' spawn loose upon the stars to perplex them forever?|If I did, Hagen, would I turn you and your hells' spawn loose upon the stars to perplex them forever?
hunters_space_10_f000105|Grim Hagen's face was almost blue with rage. You have said enough. And there are other ways to make you talk. Make these swine prisoners, he screamed.|Grim Hagen's face was almost blue with rage. You have said enough. And there are other ways to make you talk. Make these swine prisoners, he screamed.
hunters_space_10_f000106|A dozen knives flashed. A dozen death-tubes were pointed toward Ato and his followers.|A dozen knives flashed. A dozen death-tubes were pointed toward Ato and his followers.
hunters_space_10_f000107|But one of Grim Hagen's lieutenants, a Bron who was now silver-haired, intervened. No, Grim Hagen. They are under truce. The week is not yet up.|But one of Grim Hagen's lieutenants, a Bron who was now silver-haired, intervened. No, Grim Hagen. They are under truce. The week is not yet up.
hunters_space_10_f000108|I will not see you go back on your own word Grim Hagen flamed. You will die on the hook for this Maybe so. One thing is certain: I will die.|I will not see you go back on your own word Grim Hagen flamed. You will die on the hook for this Maybe so. One thing is certain: I will die.
hunters_space_10_f000109|And I can face it. But you can't, can you, Grim Hagen? You would prefer to be some sort of eternal devil, working its fury upon the stars.|And I can face it. But you can't, can you, Grim Hagen? You would prefer to be some sort of eternal devil, working its fury upon the stars.
hunters_space_10_f000110|Now, where is the new thinking that you used to preach? That dream is as old as the incantations beside the cave-fires Arrest them all, Grim Hagen screamed.|Now, where is the new thinking that you used to preach? That dream is as old as the incantations beside the cave-fires Arrest them all, Grim Hagen screamed.
hunters_space_10_f000111|Arrest Rama too, he added with rage.|Arrest Rama too, he added with rage.
hunters_space_10_f000112|But the knives and swords were back in their holsters. The guns were lowered. One by one his men filed out of the council room.|But the knives and swords were back in their holsters. The guns were lowered. One by one his men filed out of the council room.
hunters_space_10_f000113|Grim Hagen's face was so dark that Odin feared a stroke. But with a curse at Ato and Odin, Hagen lifted his chin high and followed his men from the room.|Grim Hagen's face was so dark that Odin feared a stroke. But with a curse at Ato and Odin, Hagen lifted his chin high and followed his men from the room.
hunters_space_10_f000114|Only the one called Rama remained.|Only the one called Rama remained.
hunters_space_10_f000115|I will do what I can, Ato, he said quietly. I was nearly fifty when we started this journey. And we lived hard and fast. I am old now.|I will do what I can, Ato, he said quietly. I was nearly fifty when we started this journey. And we lived hard and fast. I am old now.
hunters_space_10_f000116|I married one of the slave-girls. We have children. Were it not for that, I would go with you. But I am tired. God, I'm tired He saluted them as he went out the door.|I married one of the slave-girls. We have children. Were it not for that, I would go with you. But I am tired. God, I'm tired He saluted them as he went out the door.
hunters_space_10_f000117|They never saw Rama again.|They never saw Rama again.
hunters_space_10_f000118|End of chapter 10.|End of chapter ten.
hunters_space_11_f000001|Chapter 11 of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.|Chapter eleven of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.
hunters_space_11_f000002|Chapter 11.|Chapter eleven.
hunters_space_11_f000003|Although Gunnar had spent most of the past four days in grumbling and polishing his sword, there had been hours and hours when Odin had not seen him.|Although Gunnar had spent most of the past four days in grumbling and polishing his sword, there had been hours and hours when Odin had not seen him.
hunters_space_11_f000004|The little man had a secret, but what it was he would not tell. For, he said to Odin, then it would not be my secret. It would be mine and yours, and I would own but half of it.|The little man had a secret, but what it was he would not tell. For, he said to Odin, then it would not be my secret. It would be mine and yours, and I would own but half of it.
hunters_space_11_f000005|Does a man give half of his flocks away?|Does a man give half of his flocks away?
hunters_space_11_f000006|Odin was a bit hurt over his friend's behavior. He even wondered if Gunnar had taken a liking to one of the white-skinned slave-girls for they were beautiful.|Odin was a bit hurt over his friend's behavior. He even wondered if Gunnar had taken a liking to one of the white-skinned slave-girls for they were beautiful.
hunters_space_11_f000007|Still, that did not seem like Gunnar. But you could never tell.|Still, that did not seem like Gunnar. But you could never tell.
hunters_space_11_f000008|After all, he found himself quoting, there's no fool like an old fool.|After all, he found himself quoting, there's no fool like an old fool.
hunters_space_11_f000009|Mixed up in this secret was a buckskin bag that Gunnar had brought with him from the ship. When Odin had inquired about it, Gunnar had replied: Magic.|Mixed up in this secret was a buckskin bag that Gunnar had brought with him from the ship. When Odin had inquired about it, Gunnar had replied: Magic.
